step,loss,probe_loss,acc,grad_norm,step_norm,epsilon,wall_clock_s
0.0,2.6426,2.7178,0.125,5.792,5.004,1.0,5.6
1.0,2.4953,2.5898,0.125,2.662,0.1331,0.9,9.91
2.0,2.4394,2.4894,0.109,2.369,0.1185,0.99,14.38
3.0,2.6679,2.4,0.078,2.81,3.366,1.09,18.81
4.0,2.4712,2.8261,0.156,2.81,0.9302,0.98,24.03
5.0,2.2628,2.799,0.219,2.647,0.1324,0.882,28.98
6.0,2.6572,2.6774,0.125,2.537,1.759,0.97,34.52
7.0,2.5322,2.6112,0.141,4.226,1.45,0.873,39.57
8.0,2.3533,2.4682,0.141,1.451,1.128,0.786,44.37
9.0,2.4241,2.3533,0.172,1.778,0.6784,0.707,49.06
10.0,2.2717,2.3833,0.156,1.575,0.505,0.637,53.65
11.0,2.1975,2.3709,0.219,1.53,1.33,0.573,58.21
12.0,2.3946,2.4989,0.141,2.795,3.141,0.516,62.62
13.0,2.337,2.5931,0.156,2.235,1.215,0.464,67.14
14.0,2.1791,2.4906,0.219,1.835,1.863,0.418,71.64
