step,loss,probe_loss,acc,grad_norm,step_norm,epsilon,wall_clock_s
0.0,2.6426,2.7178,0.125,5.792,1.007,10.0,5.65
1.0,2.8321,2.851,0.125,3.153,0.2327,10.0,9.85
2.0,2.6548,2.688,0.047,3.675,0.5358,10.0,13.89
3.0,2.3461,2.5301,0.141,2.016,0.1196,10.0,18.04
4.0,2.4553,2.4899,0.156,1.77,0.137,10.0,22.42
5.0,2.5519,2.5045,0.094,3.04,0.3934,10.0,27.03
6.0,2.6306,2.8683,0.141,7.478,0.3739,10.0,31.83
7.0,2.6976,2.736,0.125,3.225,0.5128,10.0,36.45
8.0,2.3757,2.3271,0.094,0.798,0.09236,10.0,41.13
9.0,2.3431,2.2985,0.078,0.6119,0.1127,10.0,45.82
10.0,2.3075,2.386,0.172,1.417,0.09949,10.0,50.59
11.0,2.3527,2.2959,0.094,0.9556,0.0641,10.0,55.5
12.0,2.2696,2.2846,0.125,0.9432,0.09521,10.0,60.5
13.0,2.4484,2.3468,0.094,2.538,0.1269,10.0,65.4
14.0,2.4199,2.3525,0.078,1.94,0.299,10.0,70.31
