step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.3026,2.3026,2.3026,0.094,0.094,0.1,0.002808,1.0,1.0,-0.178,0.0122,35.0,-0.0113,0.0299,1.39
1.0,2.3025,2.3026,2.3026,0.094,0.062,0.1,0.003024,0.25,0.25,0.085,0.02891,35.0,-0.0202,0.0095,2.97
2.0,2.3027,2.3026,2.3026,0.094,0.062,0.1,0.001551,0.0625,0.0625,0.858,0.0377,35.0,-0.0376,0.0105,4.09
3.0,2.3025,2.3026,2.3024,0.129,0.125,0.1,0.001458,0.125,0.125,0.459,0.08111,35.0,-0.0769,0.0566,5.33
4.0,2.3026,2.3026,2.302,0.098,0.031,0.1,0.0059,0.125,0.125,0.316,0.07833,35.0,-0.0536,0.167,6.48
5.0,2.3024,2.3026,2.3023,0.129,0.188,0.1,0.006006,0.125,0.125,0.923,0.04258,35.0,-0.022,0.0814,8.04
6.0,2.3031,2.3026,2.3021,0.133,0.031,0.1,0.008254,0.25,0.25,0.192,0.07976,35.0,-0.0659,0.197,9.4
7.0,2.3026,2.3026,2.3023,0.148,0.156,0.1,0.005307,0.0625,0.0625,0.459,0.1576,35.0,-0.0881,0.0776,10.5
8.0,2.3026,2.3026,2.3025,0.133,0.125,0.1,0.001183,0.0625,0.0625,0.488,0.03169,35.0,-0.0223,0.0237,11.5
9.0,2.3026,2.3026,2.3026,0.125,0.094,0.1,0.001015,0.0625,0.0625,0.685,0.01979,35.0,-0.0153,0.0177,12.67
10.0,2.3026,2.3026,2.3026,0.109,0.062,0.1,0.001913,0.0625,0.0625,0.808,0.03752,35.0,-0.022,0.0128,13.8
11.0,2.3026,2.3026,2.3026,0.113,0.094,0.1,0.002481,0.125,0.125,0.214,0.05422,35.0,-0.0459,0.022,14.89
12.0,2.3025,2.3026,2.3025,0.141,0.094,0.1,0.007684,0.03125,0.03125,0.433,0.3549,34.0,-0.123,0.0128,15.84
13.0,2.3024,2.3026,2.3025,0.141,0.094,0.1,0.001632,0.03125,0.03125,1.029,0.05399,35.0,-0.0116,0.0732,16.95
14.0,2.3026,2.3026,2.3025,0.145,0.094,0.1,0.003694,0.0625,0.0625,0.504,0.0985,35.0,-0.0485,0.0136,18.0
15.0,2.3026,2.3026,2.3025,0.125,0.125,0.1,0.001132,0.0625,0.0625,0.96,0.02228,35.0,-0.0133,0.0179,19.04
16.0,2.3025,2.3026,2.3025,0.133,0.125,0.1,0.001704,0.125,0.125,0.203,0.02172,35.0,-0.0216,0.0424,20.21
17.0,2.3025,2.3026,2.3025,0.129,0.062,0.1,0.0029,0.03125,0.03125,0.972,0.08846,35.0,-0.00828,0.0648,21.34
18.0,2.3026,2.3026,2.3025,0.125,0.125,0.1,0.002301,0.0625,0.0625,2.215,0.04019,35.0,-0.0148,0.0151,22.42
19.0,2.3022,2.3026,2.3024,0.137,0.062,0.1,0.01128,0.125,0.125,-0.267,0.05642,35.0,-0.0128,0.085,23.28
20.0,2.3025,2.3026,2.3024,0.137,0.062,0.1,0.00252,0.03125,0.03125,0.46,0.1261,35.0,-0.0716,0.0286,24.3
21.0,2.3025,2.3026,2.3025,0.113,0.094,0.1,0.001625,0.03125,0.03125,0.988,0.05333,35.0,-0.0194,0.0124,25.4
22.0,2.3026,2.3026,2.3025,0.102,0.125,0.1,0.004528,0.0625,0.0625,0.543,0.109,35.0,-0.0517,0.0138,26.35
23.0,2.3025,2.3026,2.3026,0.105,0.156,0.1,0.001214,0.0625,0.0625,0.725,0.03016,35.0,-0.0233,0.011,27.37
24.0,2.3026,2.3026,2.3026,0.102,0.156,0.1,0.001636,0.0625,0.0625,0.492,0.04593,35.0,-0.0422,0.0138,28.46
25.0,2.3024,2.3026,2.3024,0.133,0.094,0.1,0.003641,0.0625,0.0625,0.332,0.09906,35.0,-0.0591,0.111,29.52
26.0,2.3024,2.3025,2.3025,0.105,0.062,0.1,0.003995,0.0625,0.0625,0.909,0.05896,35.0,-0.0152,0.093,30.44
27.0,2.3024,2.3025,2.3026,0.078,0.156,0.1,0.003069,0.125,0.125,0.4,0.03572,35.0,-0.0166,0.0125,31.46
28.0,2.3025,2.3025,2.3023,0.141,0.094,0.1,0.01769,0.125,0.125,0.349,0.05689,35.0,-0.034,0.747,32.53
29.0,2.3028,2.3025,2.3022,0.121,0.0,0.1,0.003149,0.125,0.125,0.327,0.07311,35.0,-0.0717,0.085,33.37
30.0,2.3024,2.3025,2.3026,0.078,0.125,0.1,0.005187,0.125,0.125,1.035,0.02911,35.0,-0.0167,0.108,34.36
31.0,2.3024,2.3025,2.3023,0.137,0.094,0.1,0.008871,0.25,0.25,0.512,0.04522,35.0,-0.0245,0.0597,35.34
