step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.3026,2.3026,2.3026,0.094,0.094,0.1,0.002808,1.0,1.0,0.282,0.03493,35.0,-0.0328,0.0141,1.63
1.0,2.3038,2.3032,2.2977,0.141,0.062,0.1,0.01827,1.0,1.0,-0.026,0.1771,34.0,-0.176,0.172,2.9
2.0,2.3118,2.3061,2.2977,0.141,0.094,0.1,0.06697,0.25,0.25,0.544,0.8269,34.0,-0.659,0.498,4.11
3.0,2.3031,2.3053,2.3068,0.094,0.094,0.1,0.02001,0.25,0.25,-5.141,0.3425,34.0,-0.278,0.189,5.4
4.0,2.307,2.3056,2.3068,0.094,0.125,0.1,0.07795,0.0625,0.0625,0.912,0.9357,34.0,-0.905,1.3,6.59
5.0,2.304,2.3054,2.3038,0.098,0.094,0.1,0.02137,0.125,0.125,0.619,0.211,34.0,-0.195,0.31,7.99
6.0,2.3023,2.3049,2.3014,0.148,0.062,0.1,0.0501,0.125,0.125,0.78,0.8354,34.0,-0.491,0.411,9.2
7.0,2.3024,2.3046,2.3069,0.094,0.094,0.1,0.07883,0.25,0.25,0.17,0.4591,34.0,-0.444,2.2,10.37
8.0,2.3001,2.3041,2.3026,0.117,0.125,0.1,0.05838,0.0625,0.0625,0.967,1.483,33.0,-0.598,0.283,11.5
9.0,2.3121,2.3049,2.3073,0.094,0.156,0.1,0.115,0.125,0.125,0.512,1.256,34.0,-0.914,1.16,12.66
10.0,2.3071,2.3051,2.3006,0.145,0.125,0.1,0.08473,0.125,0.125,0.9,0.4009,34.0,-0.232,1.32,13.91
11.0,2.3092,2.3054,2.2996,0.145,0.031,0.1,0.03164,0.25,0.25,-1.477,1.027,34.0,-0.996,0.0476,14.75
12.0,2.3058,2.3055,2.2996,0.145,0.094,0.1,0.02561,0.0625,0.0625,1.115,1.062,34.0,-0.772,0.0561,15.8
13.0,2.2998,2.3051,2.3,0.137,0.031,0.1,0.0625,0.125,0.125,0.915,1.176,34.0,-0.697,0.145,16.79
