step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
0.0,2.3026,2.3026,2.3026,0.094,0.094,0.1,0.002808,0.0002808,0.03
10.0,2.3027,2.3026,2.3026,0.094,0.094,0.1,0.003508,0.0003508,0.06
20.0,2.3026,2.3026,2.3026,0.094,0.094,0.1,0.001849,0.0001849,0.09
30.0,2.3026,2.3026,2.3026,0.09,0.062,0.1,0.001007,0.0001007,0.12
40.0,2.3026,2.3026,2.3026,0.09,0.062,0.1,0.002294,0.0002294,0.15
50.0,2.3024,2.3025,2.3025,0.09,0.125,0.1,0.003589,0.0003589,0.18
60.0,2.3025,2.3025,2.3025,0.09,0.125,0.1,0.003076,0.0003076,0.2
70.0,2.3025,2.3026,2.3025,0.09,0.062,0.1,0.003087,0.0003087,0.23
80.0,2.3026,2.3026,2.3025,0.09,0.031,0.1,0.001814,0.0001814,0.26
90.0,2.3025,2.3026,2.3025,0.086,0.062,0.1,0.001793,0.0001793,0.29
100.0,2.3023,2.3026,2.3025,0.086,0.188,0.1,0.00518,0.000518,0.32
110.0,2.3025,2.3025,2.3025,0.09,0.125,0.1,0.00117,0.000117,0.35
120.0,2.3026,2.3025,2.3025,0.094,0.188,0.1,0.002078,0.0002078,0.38
130.0,2.3025,2.3025,2.3025,0.094,0.125,0.1,0.001685,0.0001685,0.41
140.0,2.3026,2.3026,2.3025,0.094,0.062,0.1,0.003064,0.0003064,0.44
150.0,2.3025,2.3025,2.3025,0.102,0.062,0.1,0.00453,0.000453,0.47
160.0,2.3025,2.3026,2.3025,0.105,0.188,0.1,0.001731,0.0001731,0.5
170.0,2.3026,2.3026,2.3025,0.117,0.156,0.1,0.001261,0.0001261,0.53
180.0,2.3025,2.3026,2.3025,0.117,0.125,0.1,0.002253,0.0002253,0.56
190.0,2.3027,2.3026,2.3025,0.109,0.031,0.1,0.001447,0.0001447,0.65
200.0,2.3025,2.3026,2.3025,0.117,0.125,0.1,0.003699,0.0003699,0.68
210.0,2.3025,2.3025,2.3025,0.125,0.125,0.1,0.002246,0.0002246,0.71
220.0,2.3027,2.3026,2.3025,0.125,0.0,0.1,0.003399,0.0003399,0.74
230.0,2.3026,2.3026,2.3025,0.121,0.062,0.1,0.002167,0.0002167,0.77
240.0,2.3025,2.3026,2.3025,0.121,0.125,0.1,0.002006,0.0002006,0.8
250.0,2.3027,2.3025,2.3025,0.129,0.062,0.1,0.001511,0.0001511,0.83
260.0,2.3024,2.3025,2.3025,0.121,0.094,0.1,0.002894,0.0002894,0.85
270.0,2.3027,2.3026,2.3025,0.121,0.062,0.1,0.003037,0.0003037,0.88
280.0,2.3025,2.3026,2.3025,0.121,0.25,0.1,0.003887,0.0003887,0.91
290.0,2.3026,2.3025,2.3025,0.117,0.062,0.1,0.002384,0.0002384,0.94
300.0,2.3026,2.3025,2.3025,0.117,0.094,0.1,0.005477,0.0005477,0.97
310.0,2.3026,2.3026,2.3025,0.117,0.031,0.1,0.001864,0.0001864,1.0
320.0,2.3027,2.3026,2.3025,0.121,0.0,0.1,0.004241,0.0004241,1.03
330.0,2.3025,2.3025,2.3025,0.113,0.219,0.1,0.003228,0.0003228,1.06
340.0,2.3027,2.3025,2.3025,0.109,0.094,0.1,0.002254,0.0002254,1.09
350.0,2.3025,2.3026,2.3025,0.113,0.125,0.1,0.001266,0.0001266,1.12
360.0,2.3024,2.3025,2.3025,0.113,0.156,0.1,0.00254,0.000254,1.15
370.0,2.3026,2.3025,2.3025,0.113,0.094,0.1,0.001314,0.0001314,1.18
380.0,2.3025,2.3026,2.3025,0.113,0.062,0.1,0.001655,0.0001655,1.21
390.0,2.3025,2.3025,2.3025,0.113,0.188,0.1,0.001031,0.0001031,1.24
400.0,2.3025,2.3025,2.3025,0.117,0.125,0.1,0.001908,0.0001908,1.27
410.0,2.3024,2.3025,2.3025,0.109,0.094,0.1,0.004395,0.0004395,1.29
420.0,2.3027,2.3025,2.3025,0.113,0.031,0.1,0.001533,0.0001533,1.32
430.0,2.3024,2.3025,2.3025,0.109,0.125,0.1,0.005296,0.0005296,1.35
440.0,2.3024,2.3025,2.3025,0.102,0.188,0.1,0.008386,0.0008386,1.38
450.0,2.3025,2.3026,2.3025,0.098,0.125,0.1,0.001725,0.0001725,1.41
460.0,2.3025,2.3026,2.3025,0.098,0.125,0.1,0.002511,0.0002511,1.44
470.0,2.3025,2.3026,2.3025,0.102,0.125,0.1,0.001231,0.0001231,1.47
