step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.6288,2.6288,2.5776,0.145,0.031,0.1,20.59,1.0,1.0,-0.0,5196.0,36.0,-5180.0,1670.0,1.55
1.0,2.5204,2.5746,2.5776,0.145,0.062,0.1,22.2,0.25,0.25,0.025,319.0,36.0,-312.0,2170.0,2.8
2.0,2.6853,2.6115,2.5776,0.145,0.156,0.1,10.92,0.0625,0.0625,0.089,556.7,36.0,-489.0,2310.0,4.03
3.0,2.6224,2.6142,2.5776,0.145,0.094,0.1,5.911,0.01563,0.01562,0.045,1544.0,36.0,-1490.0,1420.0,5.35
4.0,2.625,2.6164,2.5776,0.145,0.156,0.1,9.831,0.003906,0.003906,0.573,2044.0,38.0,-492.0,2400.0,6.38
5.0,2.4432,2.5875,2.591,0.152,0.094,0.1,31.69,0.003906,0.003906,0.581,2516.0,41.0,-43.5,12300.0,7.85
6.0,2.5352,2.5801,2.5792,0.145,0.125,0.1,20.78,0.003906,0.003906,0.335,7453.0,37.0,-3100.0,1900.0,8.92
7.0,2.2052,2.5332,2.5899,0.148,0.219,0.1,4.446,0.003906,0.003906,0.291,8765.0,36.0,-8600.0,4200.0,10.03
8.0,2.5977,2.5404,2.6107,0.152,0.062,0.1,5.91,0.003906,0.003906,-0.019,17940.0,36.0,-16700.0,255.0,11.07
9.0,2.7628,2.5626,2.6107,0.152,0.094,0.1,12.92,0.0009766,0.0009766,0.722,13700.0,39.0,-1430.0,1100.0,11.99
10.0,2.7153,2.5765,2.6136,0.148,0.094,0.1,14.94,0.0009766,0.0009766,1.026,11490.0,39.0,-1210.0,6100.0,12.93
11.0,2.7069,2.5874,2.6086,0.156,0.188,0.1,12.47,0.001953,0.001953,0.286,22450.0,35.0,-17600.0,1150.0,13.9
12.0,2.6325,2.5908,2.5995,0.152,0.125,0.1,22.65,0.001953,0.001953,0.76,16270.0,37.0,-5620.0,428.0,14.92
13.0,2.5799,2.5901,2.6105,0.152,0.062,0.1,9.715,0.003906,0.003906,0.428,2261.0,38.0,-379.0,1200.0,15.92
14.0,2.5532,2.5876,2.5932,0.148,0.156,0.1,2.893,0.003906,0.003906,-0.062,10130.0,36.0,-10100.0,80.9,16.89
15.0,2.6518,2.5916,2.5932,0.148,0.094,0.1,20.37,0.0009766,0.0009766,0.897,19140.0,40.0,-733.0,2800.0,17.78
16.0,2.6013,2.5922,2.591,0.152,0.031,0.1,6.332,0.001953,0.001953,0.3,11740.0,35.0,-9780.0,286.0,18.86
17.0,2.8969,2.6091,2.587,0.145,0.031,0.1,4.728,0.001953,0.001953,0.936,2425.0,35.0,-2040.0,2050.0,20.06
18.0,2.5681,2.6069,2.5876,0.145,0.219,0.1,2.269,0.003906,0.003906,0.705,2540.0,36.0,-2530.0,806.0,21.17
19.0,2.4271,2.5979,2.596,0.148,0.062,0.1,41.5,0.003906,0.003906,0.081,12700.0,36.0,-3450.0,1320.0,22.15
20.0,2.546,2.5938,2.596,0.148,0.125,0.1,10.64,0.0009766,0.0009766,1.061,7164.0,40.0,-829.0,10400.0,23.31
21.0,2.5263,2.5941,2.5939,0.148,0.125,0.1,3.174,0.001953,0.001953,1.062,1395.0,35.0,-867.0,4470.0,24.25
22.0,2.5442,2.587,2.5928,0.148,0.062,0.1,14.36,0.003906,0.003906,0.35,13060.0,35.0,-9990.0,312.0,25.24
