step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.6288,2.6288,2.5776,0.145,0.031,0.1,20.59,1.0,1.0,-0.001,1274.0,36.0,-1270.0,16800.0,1.46
1.0,2.9144,2.7716,2.5776,0.145,0.062,0.1,6.699,0.25,0.25,0.001,5192.0,36.0,-5180.0,1670.0,2.64
2.0,2.5204,2.6879,2.5776,0.145,0.062,0.1,22.2,0.0625,0.0625,-0.003,9325.0,36.0,-9040.0,3810.0,3.57
3.0,2.5261,2.6474,2.5776,0.145,0.062,0.1,6.565,0.01563,0.01562,-0.025,526.7,35.0,-312.0,2170.0,4.6
4.0,2.6853,2.655,2.5776,0.145,0.156,0.1,10.92,0.003906,0.003906,0.999,1806.0,35.0,-1200.0,8690.0,5.74
5.0,2.8167,2.682,2.581,0.141,0.062,0.1,5.998,0.007813,0.007812,1.097,723.1,37.0,-360.0,1910.0,6.71
6.0,2.6643,2.6794,2.6037,0.145,0.062,0.1,11.58,0.01562,0.01562,0.246,1109.0,36.0,-1090.0,6210.0,8.13
7.0,2.5813,2.6672,2.5569,0.141,0.094,0.1,12.33,0.003906,0.003906,0.54,10300.0,35.0,-7280.0,974.0,9.38
8.0,2.5199,2.6508,2.5737,0.141,0.156,0.1,14.94,0.003906,0.003906,0.581,3551.0,37.0,-1360.0,4470.0,10.32
9.0,2.8688,2.6726,2.5769,0.141,0.062,0.1,19.16,0.003906,0.003906,0.82,8818.0,37.0,-4060.0,138.0,11.41
10.0,2.5175,2.6585,2.605,0.141,0.062,0.1,7.649,0.007812,0.007812,0.282,9282.0,36.0,-8440.0,67.3,12.59
11.0,2.3742,2.6348,2.5552,0.141,0.125,0.1,20.28,0.007813,0.007812,0.213,6004.0,35.0,-4090.0,2450.0,13.8
12.0,2.5562,2.6288,2.5947,0.145,0.156,0.1,10.45,0.001953,0.001953,1.024,5580.0,35.0,-3890.0,3170.0,14.76
13.0,2.4784,2.618,2.5905,0.145,0.125,0.1,16.04,0.003906,0.003906,0.535,6639.0,35.0,-4000.0,17600.0,15.77
14.0,2.2309,2.5922,2.6156,0.141,0.219,0.1,20.08,0.003906,0.003906,0.782,5714.0,35.0,-4540.0,680.0,16.76
15.0,2.9122,2.6122,2.6015,0.133,0.125,0.1,3.351,0.007813,0.007812,1.426,1994.0,36.0,-1920.0,554.0,17.91
16.0,2.6296,2.6132,2.5612,0.137,0.062,0.1,2.842,0.01563,0.01562,0.163,6254.0,36.0,-6150.0,259.0,18.82
17.0,2.7215,2.6193,2.5564,0.125,0.125,0.1,7.437,0.003906,0.003906,0.65,2685.0,37.0,-1320.0,2720.0,20.02
18.0,2.7899,2.6282,2.5598,0.129,0.062,0.1,27.24,0.003906,0.003906,0.694,7070.0,36.0,-1960.0,33400.0,21.15
19.0,2.2496,2.6093,2.5556,0.125,0.156,0.1,5.441,0.003906,0.003906,0.976,1275.0,38.0,-215.0,3280.0,22.24
20.0,2.4966,2.6027,2.5551,0.129,0.125,0.1,8.477,0.007813,0.007812,0.831,300.7,37.0,-97.9,7280.0,23.4
21.0,2.8656,2.6003,2.5585,0.133,0.0,0.1,7.553,0.01563,0.01562,0.165,1481.0,35.0,-1190.0,190.0,24.45
22.0,2.9114,2.6198,2.5606,0.141,0.094,0.1,23.14,0.003906,0.003906,0.797,18880.0,35.0,-13100.0,122.0,25.42
23.0,2.78,2.6325,2.5838,0.137,0.094,0.1,12.2,0.007813,0.007812,1.02,4921.0,35.0,-3510.0,402.0,26.48
