step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
0.0,2.6288,2.6288,2.5776,0.145,0.031,0.03,20.59,0.6176,0.02
10.0,2.7052,2.6213,2.5907,0.102,0.031,0.03,2.429,0.07288,0.05
20.0,2.391,2.5538,2.4471,0.102,0.062,0.03,2.033,0.061,0.09
30.0,2.3815,2.4325,2.3749,0.133,0.156,0.03,0.827,0.02481,0.12
40.0,2.4125,2.368,2.3637,0.109,0.125,0.03,2.055,0.06166,0.15
50.0,2.2076,2.356,2.3401,0.113,0.125,0.03,1.169,0.03507,0.18
60.0,2.3279,2.3657,2.383,0.094,0.094,0.03,0.8419,0.02526,0.21
70.0,2.3095,2.3548,2.3224,0.105,0.156,0.03,1.321,0.03962,0.25
80.0,2.317,2.3288,2.3244,0.129,0.219,0.03,1.048,0.03144,0.28
90.0,2.4278,2.3281,2.3199,0.109,0.094,0.03,2.12,0.06361,0.31
100.0,2.2738,2.3188,2.3207,0.105,0.062,0.03,1.254,0.03762,0.34
110.0,2.2892,2.3094,2.3042,0.137,0.156,0.03,1.12,0.0336,0.37
120.0,2.2622,2.3242,2.3285,0.086,0.094,0.03,1.373,0.04119,0.4
130.0,2.3209,2.3284,2.3102,0.133,0.094,0.03,0.8056,0.02417,0.44
140.0,2.3421,2.3235,2.293,0.137,0.031,0.03,2.112,0.06336,0.47
150.0,2.3085,2.3191,2.3186,0.109,0.094,0.03,1.384,0.04151,0.5
160.0,2.2838,2.3172,2.3299,0.121,0.125,0.03,1.03,0.0309,0.53
170.0,2.3602,2.3211,2.2925,0.141,0.062,0.03,1.927,0.05781,0.56
180.0,2.293,2.3073,2.2928,0.121,0.094,0.03,1.98,0.05939,0.59
190.0,2.294,2.3018,2.3085,0.145,0.125,0.03,0.8397,0.02519,0.62
200.0,2.2913,2.3129,2.3163,0.09,0.094,0.03,1.519,0.04558,0.65
210.0,2.3581,2.3228,2.3145,0.137,0.156,0.03,2.055,0.06166,0.68
220.0,2.3054,2.3185,2.2922,0.129,0.094,0.03,1.528,0.04583,0.72
230.0,2.3225,2.3102,2.3206,0.145,0.094,0.03,1.013,0.03038,0.75
240.0,2.2769,2.3017,2.315,0.105,0.094,0.03,0.6274,0.01882,0.78
250.0,2.2959,2.297,2.2769,0.156,0.031,0.03,0.939,0.02817,0.81
260.0,2.3265,2.3033,2.3208,0.078,0.062,0.03,1.218,0.03654,0.84
270.0,2.2533,2.3051,2.2844,0.133,0.094,0.03,1.05,0.03149,0.87
280.0,2.3889,2.3094,2.3309,0.109,0.0,0.03,1.493,0.0448,0.9
290.0,2.2687,2.3054,2.2826,0.172,0.188,0.03,0.5178,0.01553,0.93
300.0,2.3008,2.2994,2.2815,0.137,0.156,0.03,2.104,0.06311,0.96
310.0,2.2768,2.3007,2.3028,0.129,0.125,0.03,0.9454,0.02836,1.0
320.0,2.2377,2.3042,2.2794,0.137,0.156,0.03,1.248,0.03743,1.03
330.0,2.2305,2.2913,2.2766,0.109,0.188,0.03,1.272,0.03815,1.06
340.0,2.2631,2.2886,2.2522,0.168,0.125,0.03,1.733,0.052,1.09
350.0,2.3031,2.293,2.2679,0.16,0.094,0.03,0.7673,0.02302,1.12
360.0,2.2396,2.2763,2.2761,0.145,0.156,0.03,1.119,0.03358,1.16
370.0,2.4994,2.2851,2.2459,0.191,0.0,0.03,5.143,0.1543,1.19
380.0,2.2934,2.281,2.2511,0.188,0.156,0.03,0.821,0.02463,1.22
390.0,2.2768,2.2479,2.239,0.188,0.062,0.03,1.579,0.04738,1.26
400.0,2.2912,2.2448,2.2468,0.203,0.188,0.03,0.6897,0.02069,1.29
410.0,2.2662,2.257,2.234,0.18,0.062,0.03,1.445,0.04336,1.32
420.0,2.2858,2.2731,2.2754,0.172,0.125,0.03,1.997,0.05992,1.35
430.0,2.2581,2.2828,2.2719,0.133,0.188,0.03,1.539,0.04616,1.38
440.0,2.2574,2.2718,2.251,0.191,0.125,0.03,1.588,0.04763,1.41
450.0,2.2851,2.2723,2.243,0.141,0.125,0.03,0.8348,0.02505,1.44
