step,loss,batch_accuracy,wall_clock_s
0,2.6288,0.031,0.01
10,2.6972,0.031,0.03
20,2.4931,0.062,0.05
30,2.4379,0.062,0.07
40,2.3706,0.094,0.09
50,2.3489,0.094,0.11
60,2.3121,0.094,0.13
70,2.2587,0.094,0.15
80,2.1839,0.156,0.17
90,2.1442,0.156,0.19
100,2.0994,0.219,0.21
110,2.0875,0.25,0.23
120,2.061,0.281,0.25
130,2.0457,0.219,0.27
140,2.0202,0.219,0.29
150,1.9971,0.219,0.31
160,1.9738,0.188,0.33
170,1.9894,0.281,0.35
180,1.9284,0.281,0.37
190,1.91,0.375,0.38
200,1.8867,0.344,0.4
210,1.8612,0.344,0.42
220,1.8401,0.344,0.44
230,2.0567,0.281,0.46
240,1.7862,0.344,0.48
250,1.7663,0.344,0.5
260,1.7604,0.344,0.52
270,1.7407,0.344,0.54
280,1.7262,0.344,0.56
290,1.7025,0.344,0.58
300,2.1942,0.25,0.6
310,1.6888,0.375,0.62
320,1.7524,0.344,0.64
330,1.6608,0.344,0.66
340,1.5977,0.375,0.68
350,1.5922,0.375,0.7
360,1.6075,0.406,0.72
370,1.5538,0.406,0.73
380,1.5687,0.375,0.75
390,1.5382,0.375,0.77
400,1.5276,0.375,0.79
410,1.568,0.375,0.81
420,1.5573,0.438,0.83
430,1.5142,0.406,0.85
440,1.4928,0.375,0.87
450,1.4881,0.438,0.89
460,1.4735,0.438,0.91
470,1.5539,0.406,0.93
480,1.505,0.469,0.95
490,1.4586,0.438,0.97
500,1.4402,0.5,0.98
510,1.4008,0.531,1.0
520,1.4454,0.5,1.02
530,1.3895,0.406,1.04
540,1.915,0.344,1.06
550,1.835,0.344,1.08
560,1.3452,0.5,1.1
570,1.3914,0.5,1.12
580,1.4221,0.531,1.14
590,1.5576,0.5,1.16
600,1.3037,0.469,1.18
610,1.3005,0.469,1.2
620,1.3684,0.531,1.22
630,1.2554,0.562,1.24
640,1.2617,0.531,1.26
650,1.4315,0.5,1.28
660,1.2502,0.562,1.3
670,1.2073,0.594,1.31
680,1.3172,0.5,1.33
690,1.3313,0.531,1.35
700,1.1889,0.656,1.37
710,1.205,0.594,1.39
720,1.1907,0.594,1.41
730,1.2686,0.594,1.43
740,1.2063,0.594,1.45
750,1.1634,0.656,1.47
760,1.1818,0.594,1.49
770,1.11,0.562,1.51
780,1.095,0.688,1.53
790,1.1531,0.625,1.55
800,1.1177,0.625,1.65
810,1.5485,0.469,1.67
820,1.0518,0.656,1.69
830,1.0476,0.656,1.71
840,1.0815,0.625,1.73
850,1.0945,0.625,1.75
860,1.1355,0.531,1.77
870,1.2146,0.5,1.79
880,1.04,0.656,1.81
890,1.43,0.438,1.83
900,1.4302,0.5,1.85
910,1.3936,0.562,1.87
920,1.3486,0.531,1.89
930,1.2921,0.562,1.9
940,1.3475,0.531,1.92
950,1.2956,0.5,1.94
960,1.4056,0.5,1.96
970,1.1493,0.594,1.98
980,1.1479,0.594,2.0
990,1.1194,0.594,2.02
1000,2.2535,0.344,2.04
1010,1.4582,0.469,2.06
1020,1.2899,0.5,2.08
1030,1.0934,0.594,2.1
1040,1.0442,0.625,2.12
1050,1.0414,0.625,2.14
1060,1.583,0.375,2.16
1070,1.1891,0.625,2.18
1080,1.0092,0.625,2.2
1090,0.9917,0.656,2.21
1100,0.9689,0.656,2.23
1110,1.2049,0.562,2.25
1120,1.0806,0.656,2.27
1130,1.1781,0.562,2.29
1140,0.9119,0.656,2.31
1150,1.0232,0.594,2.33
1160,1.066,0.594,2.35
1170,1.6933,0.5,2.37
1180,1.0284,0.625,2.39
1190,0.976,0.688,2.41
1200,0.9852,0.75,2.43
1210,2.6173,0.25,2.45
1220,0.9975,0.75,2.47
1230,0.9363,0.719,2.49
1240,0.9408,0.719,2.51
1250,0.9362,0.719,2.53
1260,0.9048,0.719,2.54
1270,0.886,0.75,2.56
1280,0.931,0.688,2.58
1290,0.995,0.656,2.6
1300,0.8078,0.719,2.62
1310,0.8515,0.75,2.64
1320,0.793,0.75,2.66
1330,0.8029,0.719,2.68
1340,0.8183,0.75,2.7
1350,1.0758,0.594,2.72
1360,0.8383,0.719,2.74
1370,1.0023,0.656,2.76
1380,0.9355,0.719,2.78
1390,0.8415,0.75,2.8
1400,0.8447,0.75,2.82
1410,0.7049,0.75,2.84
