step,loss,batch_accuracy,wall_clock_s
0,2.3026,0.094,0.45
1,2.2973,0.188,0.86
2,2.2973,0.188,1.27
3,2.2866,0.094,1.69
4,2.2866,0.094,2.1
5,2.2742,0.094,2.5
6,2.2586,0.062,2.91
7,2.2415,0.062,3.33
8,2.2415,0.062,3.74
9,2.2366,0.094,4.14
10,2.2305,0.094,4.55
11,2.2198,0.094,4.96
12,2.1972,0.188,5.38
13,2.185,0.281,5.79
14,2.185,0.281,6.2
15,2.1771,0.188,6.61
16,2.1693,0.188,7.04
17,2.1581,0.219,7.44
18,2.1434,0.281,7.84
19,2.107,0.312,8.26
20,2.107,0.312,8.67
21,2.0827,0.281,9.08
22,2.0256,0.281,9.49
23,2.0256,0.281,9.89
24,1.9804,0.344,10.28
25,1.9804,0.344,10.68
26,1.9583,0.344,11.08
27,1.9146,0.312,11.48
28,1.828,0.312,11.88
29,1.828,0.312,12.28
30,1.7827,0.312,12.67
31,1.7177,0.344,13.07
32,1.7177,0.344,13.47
33,1.675,0.344,13.87
34,1.6472,0.375,14.27
35,1.5937,0.375,14.67
36,1.4837,0.406,15.07
37,1.4837,0.406,15.47
38,1.4281,0.406,15.89
39,1.3308,0.438,16.28
40,1.3308,0.438,16.68
41,1.314,0.406,17.09
42,1.314,0.406,17.49
43,1.2836,0.438,17.9
44,1.2608,0.438,18.31
45,1.2185,0.469,18.71
46,1.1389,0.469,19.12
47,1.1389,0.469,19.51
48,1.0985,0.5,19.92
49,1.0985,0.5,20.31
50,1.077,0.5,20.72
51,1.033,0.562,21.12
52,0.9428,0.688,21.52
53,0.7285,0.719,21.93
54,0.7285,0.719,22.34
55,0.7285,0.719,22.74
56,0.6954,0.719,23.16
57,0.6388,0.812,23.56
58,0.5702,0.812,23.98
59,0.5702,0.812,24.39
60,0.5381,0.812,24.81
61,0.5066,0.812,25.22
62,0.476,0.844,25.61
63,0.4232,0.906,26.02
64,0.3297,0.969,26.42
65,0.3297,0.969,26.84
66,0.2766,0.969,27.24
67,0.1907,1.0,27.65
68,0.1907,1.0,28.05
69,0.1529,1.0,28.45
70,0.0905,1.0,28.84
71,0.0207,1.0,29.26
72,0.0207,1.0,29.68
73,0.0207,1.0,30.09
74,0.0152,1.0,30.5
75,0.0085,1.0,30.91
76,0.0054,1.0,31.33
77,0.0054,1.0,31.74
78,0.0054,1.0,32.15
79,0.0029,1.0,32.56
80,0.0022,1.0,32.97
81,0.0014,1.0,33.39
82,0.0006,1.0,33.81
83,0.0006,1.0,34.24
84,0.0004,1.0,34.66
85,0.0002,1.0,35.07
86,0.0002,1.0,35.48
87,0.0001,1.0,35.89
88,0.0001,1.0,36.3
89,0.0001,1.0,36.71
90,0.0,1.0,37.12
91,0.0,1.0,37.54
92,0.0,1.0,37.96
93,0.0,1.0,38.37
94,0.0,1.0,38.78
95,0.0,1.0,39.2
96,0.0,1.0,39.6
97,0.0,1.0,40.01
98,0.0,1.0,40.42
99,0.0,1.0,40.91
100,0.0,1.0,41.32
101,0.0002,1.0,41.73
102,0.0002,1.0,42.13
103,0.0001,1.0,42.54
104,0.0,1.0,42.95
105,0.0,1.0,43.35
106,0.0,1.0,43.75
107,0.0,1.0,44.16
108,0.0,1.0,44.57
109,0.0,1.0,44.99
110,0.0,1.0,45.4
111,0.0,1.0,45.8
112,0.0,1.0,46.21
113,0.0,1.0,46.62
114,0.0,1.0,47.03
115,0.0,1.0,47.44
116,0.0,1.0,47.85
117,0.0,1.0,48.25
118,0.0,1.0,48.66
119,0.0,1.0,49.06
120,0.0,1.0,49.47
121,0.0,1.0,49.88
122,0.0,1.0,50.29
123,0.0,1.0,50.7
124,0.0,1.0,51.11
125,0.0,1.0,51.52
126,0.0,1.0,51.93
127,0.0,1.0,52.34
128,0.0,1.0,52.74
129,0.0,1.0,53.15
130,0.0,1.0,53.55
131,0.0,1.0,53.97
132,0.0,1.0,54.38
133,0.0002,1.0,54.8
134,0.0002,1.0,55.24
135,0.0002,1.0,55.66
136,0.0001,1.0,56.08
137,0.0,1.0,56.5
138,0.0,1.0,56.93
139,0.0,1.0,57.36
140,0.0,1.0,57.77
141,0.0,1.0,58.18
142,0.0,1.0,58.6
143,0.0,1.0,59.06
144,0.0001,1.0,59.73
145,0.0001,1.0,60.79
146,0.0001,1.0,61.32
147,0.0,1.0,61.84
148,0.0,1.0,62.31
149,0.0,1.0,62.74
150,0.0,1.0,63.18
151,0.0,1.0,63.62
152,0.0,1.0,64.04
153,0.0,1.0,64.46
154,0.0,1.0,64.87
155,0.0,1.0,65.29
156,0.0,1.0,65.72
157,0.0,1.0,66.22
158,0.0,1.0,66.66
159,0.0,1.0,67.1
160,0.0,1.0,67.54
161,0.0,1.0,68.0
162,0.0,1.0,68.45
163,0.0,1.0,68.91
164,0.0,1.0,69.34
165,0.0,1.0,69.77
166,0.0857,0.969,70.21
167,0.0857,0.969,70.93
168,0.0857,0.969,71.42
169,0.0857,0.969,71.88
170,0.0005,1.0,72.34
171,0.0002,1.0,72.79
172,0.0001,1.0,73.23
173,0.0,1.0,73.66
174,0.0,1.0,74.11
175,0.0,1.0,74.62
176,0.0,1.0,75.08
177,0.1296,0.969,75.52
178,0.1296,0.969,75.97
179,0.1296,0.969,76.42
180,0.1296,0.969,76.86
181,0.1296,0.969,77.3
182,0.0102,1.0,77.74
183,0.0029,1.0,78.18
184,0.001,1.0,78.62
185,0.0003,1.0,79.05
186,0.0001,1.0,79.5
187,0.0,1.0,79.94
188,0.0,1.0,80.38
189,0.0,1.0,80.82
190,0.0,1.0,81.25
191,0.0,1.0,81.69
