step,loss,probe_loss,probe_accuracy,wall_clock_s
0,2.3026,2.3026,0.094,0.03
10,2.3027,2.3026,0.094,0.06
20,2.3026,2.3026,0.094,0.09
30,2.3026,2.3026,0.09,0.12
40,2.3026,2.3026,0.09,0.15
50,2.3024,2.3025,0.09,0.18
60,2.3025,2.3025,0.09,0.21
70,2.3025,2.3025,0.09,0.24
80,2.3026,2.3025,0.09,0.27
90,2.3025,2.3025,0.086,0.3
100,2.3023,2.3025,0.086,0.33
110,2.3025,2.3025,0.09,0.36
120,2.3026,2.3025,0.094,0.39
130,2.3025,2.3025,0.094,0.42
140,2.3026,2.3025,0.094,0.45
150,2.3025,2.3025,0.102,0.48
160,2.3025,2.3025,0.105,0.51
170,2.3026,2.3025,0.117,0.54
180,2.3025,2.3025,0.117,0.57
190,2.3027,2.3025,0.109,0.6
200,2.3025,2.3025,0.117,0.63
210,2.3025,2.3025,0.125,0.66
220,2.3027,2.3025,0.125,0.69
230,2.3026,2.3025,0.121,0.72
240,2.3025,2.3025,0.121,0.75
250,2.3027,2.3025,0.129,0.78
260,2.3024,2.3025,0.121,0.81
270,2.3027,2.3025,0.121,0.83
280,2.3025,2.3025,0.121,0.86
290,2.3026,2.3025,0.117,0.89
300,2.3026,2.3025,0.117,0.92
310,2.3026,2.3025,0.117,0.95
320,2.3027,2.3025,0.121,0.98
330,2.3025,2.3025,0.113,1.01
340,2.3027,2.3025,0.109,1.04
350,2.3025,2.3025,0.113,1.07
360,2.3024,2.3025,0.113,1.1
370,2.3026,2.3025,0.113,1.13
380,2.3025,2.3025,0.113,1.16
390,2.3025,2.3025,0.113,1.19
400,2.3025,2.3025,0.117,1.21
410,2.3024,2.3025,0.109,1.24
420,2.3027,2.3025,0.113,1.27
430,2.3024,2.3025,0.109,1.3
440,2.3024,2.3025,0.102,1.33
450,2.3025,2.3025,0.098,1.36
460,2.3025,2.3025,0.098,1.39
470,2.3025,2.3025,0.102,1.42
480,2.3024,2.3025,0.098,1.45
490,2.3024,2.3025,0.094,1.48
500,2.3025,2.3025,0.094,1.51
510,2.3025,2.3025,0.094,1.53
520,2.3026,2.3025,0.094,1.56
530,2.3026,2.3025,0.098,1.59
540,2.3026,2.3025,0.102,1.62
550,2.3026,2.3025,0.094,1.65
560,2.3026,2.3025,0.094,1.68
570,2.3025,2.3025,0.094,1.71
580,2.3025,2.3025,0.094,1.74
590,2.3024,2.3025,0.094,1.77
600,2.3024,2.3025,0.094,1.8
610,2.3024,2.3025,0.094,1.83
620,2.3024,2.3025,0.094,1.86
630,2.3026,2.3025,0.098,1.89
640,2.3024,2.3025,0.094,1.92
650,2.3026,2.3025,0.102,1.94
660,2.3027,2.3025,0.098,1.97
670,2.3025,2.3025,0.094,2.0
680,2.3027,2.3025,0.094,2.03
690,2.3025,2.3025,0.098,2.06
700,2.3025,2.3025,0.098,2.09
710,2.3026,2.3025,0.098,2.12
720,2.3025,2.3025,0.098,2.15
730,2.3026,2.3025,0.098,2.18
740,2.3025,2.3025,0.098,2.2
750,2.3026,2.3024,0.098,2.23
760,2.3026,2.3024,0.105,2.26
770,2.3026,2.3024,0.105,2.29
780,2.3027,2.3024,0.102,2.32
790,2.3023,2.3024,0.105,2.35
800,2.3025,2.3024,0.102,2.38
810,2.3027,2.3024,0.102,2.41
820,2.3025,2.3024,0.102,2.44
830,2.3025,2.3024,0.102,2.47
840,2.3025,2.3024,0.094,2.5
850,2.3021,2.3024,0.094,2.53
860,2.3026,2.3024,0.102,2.55
870,2.3026,2.3024,0.102,2.58
880,2.3024,2.3024,0.102,2.61
890,2.3023,2.3024,0.102,2.64
900,2.3025,2.3024,0.105,2.67
910,2.3026,2.3024,0.105,2.7
920,2.3025,2.3024,0.105,2.73
930,2.3022,2.3024,0.109,2.76
940,2.3025,2.3024,0.105,2.79
950,2.3026,2.3024,0.102,2.82
960,2.3027,2.3024,0.105,2.85
970,2.3023,2.3024,0.094,2.88
980,2.3024,2.3024,0.094,2.91
990,2.3028,2.3024,0.102,2.94
1000,2.3025,2.3024,0.094,2.96
1010,2.3025,2.3024,0.098,2.99
1020,2.3026,2.3024,0.094,3.02
1030,2.3026,2.3024,0.098,3.05
1040,2.3024,2.3024,0.098,3.08
1050,2.3024,2.3024,0.098,3.11
1060,2.3025,2.3024,0.098,3.14
1070,2.3024,2.3024,0.102,3.17
1080,2.3024,2.3024,0.105,3.2
1090,2.3025,2.3024,0.105,3.22
1100,2.3028,2.3024,0.102,3.25
1110,2.3026,2.3024,0.102,3.28
1120,2.3025,2.3024,0.098,3.31
1130,2.3027,2.3024,0.102,3.34
1140,2.3024,2.3024,0.102,3.37
1150,2.3026,2.3024,0.102,3.4
1160,2.3025,2.3024,0.098,3.43
1170,2.3023,2.3024,0.102,3.46
1180,2.3021,2.3024,0.102,3.49
1190,2.3021,2.3024,0.102,3.51
1200,2.3025,2.3024,0.102,3.54
1210,2.3024,2.3024,0.105,3.57
1220,2.3025,2.3024,0.105,3.6
1230,2.3027,2.3024,0.102,3.63
1240,2.3026,2.3024,0.102,3.66
1250,2.3025,2.3024,0.098,3.69
1260,2.3022,2.3024,0.094,3.72
1270,2.3026,2.3024,0.094,3.75
1280,2.3026,2.3024,0.094,3.78
1290,2.3025,2.3024,0.098,3.81
1300,2.3025,2.3024,0.094,3.84
1310,2.3024,2.3024,0.094,3.87
1320,2.3024,2.3024,0.094,3.89
1330,2.3026,2.3024,0.094,3.92
1340,2.3027,2.3024,0.094,3.95
1350,2.3025,2.3024,0.098,3.98
1360,2.3024,2.3024,0.094,4.01
1370,2.3025,2.3024,0.094,4.04
1380,2.3025,2.3024,0.094,4.07
1390,2.3026,2.3024,0.094,4.1
1400,2.3027,2.3024,0.098,4.13
1410,2.3025,2.3024,0.102,4.16
1420,2.3025,2.3024,0.098,4.18
1430,2.3023,2.3024,0.105,4.21
1440,2.3029,2.3024,0.102,4.24
1450,2.3026,2.3024,0.109,4.27
1460,2.3025,2.3024,0.109,4.3
1470,2.3021,2.3024,0.098,4.33
1480,2.3023,2.3023,0.098,4.36
1490,2.3024,2.3023,0.102,4.39
1500,2.3027,2.3023,0.102,4.42
1510,2.3025,2.3023,0.102,4.45
1520,2.3025,2.3023,0.098,4.48
1530,2.3027,2.3023,0.098,4.5
1540,2.3026,2.3023,0.102,4.53
1550,2.3024,2.3023,0.102,4.56
1560,2.3022,2.3023,0.102,4.59
1570,2.3024,2.3023,0.098,4.62
1580,2.3026,2.3023,0.098,4.65
1590,2.3024,2.3023,0.102,4.68
1600,2.3023,2.3023,0.102,4.71
1610,2.3025,2.3023,0.102,4.74
1620,2.3024,2.3023,0.102,4.77
1630,2.3024,2.3023,0.102,4.8
1640,2.3024,2.3023,0.102,4.83
1650,2.3026,2.3023,0.102,4.86
1660,2.303,2.3023,0.102,4.89
1670,2.3022,2.3023,0.098,4.92
1680,2.3023,2.3023,0.102,4.95
1690,2.3019,2.3023,0.102,4.97
1700,2.3028,2.3023,0.102,5.0
1710,2.3025,2.3023,0.102,5.03
1720,2.3025,2.3023,0.102,5.06
1730,2.3019,2.3023,0.102,5.09
1740,2.303,2.3023,0.102,5.12
1750,2.3029,2.3023,0.102,5.15
1760,2.3023,2.3023,0.102,5.18
1770,2.3023,2.3023,0.102,5.21
1780,2.3026,2.3023,0.102,5.24
