step,loss,probe_loss,probe_accuracy,wall_clock_s
0,2.3026,2.3026,0.094,0.48
1,2.3038,2.2977,0.141,0.9
2,2.3118,2.2977,0.141,1.29
3,2.3031,2.3068,0.094,1.68
4,2.307,2.3068,0.094,2.1
5,2.304,2.3038,0.098,2.49
6,2.3023,2.3014,0.148,2.87
7,2.3024,2.3069,0.094,3.25
8,2.3001,2.3026,0.117,3.66
9,2.3121,2.3073,0.094,4.06
10,2.3071,2.3006,0.145,4.43
11,2.3092,2.2996,0.145,4.82
12,2.3058,2.2996,0.145,5.19
13,2.2998,2.3,0.137,5.58
14,2.2553,2.3188,0.059,6.0
15,2.3339,2.3188,0.059,6.38
16,2.3004,2.3057,0.059,6.76
17,2.2866,2.3057,0.059,7.14
18,2.305,2.3155,0.059,7.52
19,2.2832,2.3176,0.059,7.91
20,2.299,2.3176,0.059,8.28
21,2.3052,2.3229,0.059,8.67
22,2.3308,2.3137,0.059,9.04
23,2.3034,2.3013,0.137,9.42
24,2.2944,2.3013,0.137,9.8
25,2.2829,2.3057,0.066,10.19
26,2.2841,2.3057,0.066,10.57
27,2.2808,2.3112,0.059,10.95
28,2.2499,2.3276,0.059,11.33
29,2.2904,2.3276,0.059,11.71
30,2.2824,2.3233,0.059,12.09
31,2.2748,2.3331,0.059,12.5
32,2.3911,2.3881,0.059,12.87
33,2.2849,2.3387,0.059,13.25
34,2.2755,2.3387,0.059,13.63
35,2.3416,2.3636,0.062,14.01
36,2.2901,2.3281,0.062,14.44
37,2.3191,2.3655,0.059,14.82
38,2.3149,2.3147,0.055,15.19
39,2.2918,2.3,0.141,15.57
40,2.2984,2.3,0.141,15.95
41,2.3121,2.3144,0.062,16.33
42,2.2971,2.3035,0.062,16.7
43,2.2882,2.3035,0.062,17.07
44,2.29,2.3035,0.062,17.45
45,2.3189,2.3089,0.062,17.82
46,2.3019,2.3021,0.062,18.2
47,2.3173,2.3104,0.062,18.57
48,2.3019,2.3023,0.062,18.94
49,2.3003,2.3023,0.062,19.32
50,2.3028,2.299,0.141,19.69
51,2.2962,2.299,0.137,20.07
52,2.3038,2.299,0.137,20.44
53,2.3114,2.3219,0.062,20.82
54,2.2909,2.3177,0.062,21.2
55,2.2953,2.3177,0.062,21.58
56,2.3685,2.3177,0.062,21.96
57,2.2955,2.3079,0.062,22.33
58,2.301,2.3068,0.062,22.71
59,2.2948,2.3068,0.062,23.09
60,2.2993,2.3154,0.062,23.47
61,2.3077,2.3094,0.062,23.85
62,2.2785,2.3256,0.066,24.23
63,2.3054,2.3256,0.066,24.61
64,2.3046,2.3179,0.066,25.0
65,2.2942,2.3122,0.059,25.38
66,2.2931,2.3094,0.059,25.76
67,2.3073,2.3094,0.059,26.13
68,2.3128,2.3047,0.059,26.51
69,2.2924,2.3064,0.066,26.89
70,2.3178,2.3064,0.066,27.26
71,2.3089,2.2998,0.145,27.64
72,2.3009,2.2983,0.141,28.01
73,2.3069,2.2974,0.137,28.39
74,2.3039,2.2974,0.137,28.76
75,2.2979,2.3021,0.059,29.13
76,2.2912,2.3021,0.059,29.51
77,2.2937,2.3178,0.059,29.89
78,2.2864,2.3184,0.059,30.26
79,2.28,2.3184,0.059,30.63
80,2.3097,2.3451,0.059,31.0
81,2.2562,2.3255,0.059,31.37
82,2.298,2.3255,0.059,31.75
83,2.3189,2.3138,0.059,32.13
84,2.3049,2.3032,0.059,32.51
85,2.3026,2.2977,0.137,32.88
86,2.3059,2.2977,0.137,33.27
87,2.2982,2.2967,0.137,33.66
88,2.291,2.2967,0.137,34.07
89,2.3038,2.2966,0.141,34.45
90,2.3015,2.2979,0.141,34.82
91,2.3023,2.2979,0.141,35.21
92,2.3164,2.3028,0.059,35.58
93,2.3038,2.2981,0.141,35.95
94,2.3096,2.2976,0.129,36.32
95,2.2993,2.2976,0.129,36.7
96,2.3005,2.2965,0.141,37.08
97,2.3024,2.2965,0.141,37.45
98,2.3075,2.2965,0.141,37.82
99,2.3029,2.2963,0.141,38.22
100,2.2968,2.2967,0.141,38.59
101,2.2931,2.2988,0.137,38.97
102,2.3031,2.2988,0.137,39.34
103,2.2897,2.296,0.141,39.72
104,2.2997,2.296,0.141,40.09
105,2.3057,2.3227,0.062,40.47
106,2.369,2.3471,0.062,40.85
107,2.3237,2.3101,0.062,41.22
108,2.3011,2.3008,0.102,41.6
109,2.2931,2.3008,0.102,41.98
110,2.2847,2.2996,0.125,42.35
111,2.299,2.2996,0.125,42.73
112,2.2918,2.2982,0.141,43.1
113,2.3396,2.3114,0.062,43.48
114,2.2984,2.3016,0.07,43.86
115,2.3007,2.3016,0.07,44.23
116,2.3041,2.2987,0.141,44.63
117,2.301,2.2987,0.141,45.0
118,2.3132,2.3029,0.066,45.38
119,2.2987,2.2983,0.117,45.75
120,2.2987,2.2983,0.117,46.14
121,2.2962,2.2983,0.125,46.52
122,2.2936,2.2969,0.09,46.89
123,2.3112,2.2969,0.09,47.27
124,2.3019,2.2989,0.137,47.64
125,2.2834,2.3208,0.062,48.02
126,2.3557,2.3437,0.062,48.39
127,2.313,2.3052,0.062,48.77
128,2.303,2.2969,0.086,49.15
129,2.299,2.2969,0.086,49.52
130,2.2962,2.2975,0.102,49.9
131,2.3054,2.2975,0.102,50.27
132,2.2895,2.3008,0.102,50.64
133,2.3025,2.3457,0.062,51.02
134,2.2803,2.3289,0.066,51.4
135,2.3252,2.3289,0.066,51.77
136,2.303,2.3107,0.062,52.15
137,2.301,2.3036,0.078,52.52
138,2.2968,2.2992,0.121,52.9
139,2.2938,2.2992,0.121,53.27
140,2.3184,2.2959,0.094,53.64
141,2.3046,2.3009,0.102,54.02
142,2.3078,2.2965,0.098,54.39
143,2.3017,2.2965,0.098,54.77
144,2.3092,2.2981,0.117,55.14
145,2.3041,2.2949,0.109,55.51
146,2.301,2.2949,0.109,55.89
147,2.2924,2.2948,0.098,56.26
148,2.3112,2.3481,0.066,56.64
149,2.2924,2.3222,0.062,57.02
150,2.3037,2.3744,0.055,57.39
151,2.3804,2.3094,0.078,57.75
152,2.2997,2.2978,0.102,58.13
153,2.3012,2.2978,0.102,58.51
154,2.3009,2.2951,0.109,58.88
155,2.3054,2.2951,0.109,59.26
156,2.2899,2.2974,0.098,59.63
157,2.3039,2.2975,0.102,60.01
158,2.3096,2.2975,0.102,60.39
159,2.2963,2.2952,0.102,60.77
160,2.2587,2.3269,0.047,61.17
161,2.2814,2.3269,0.047,61.55
162,2.2579,2.3573,0.051,61.92
163,2.3825,2.3693,0.062,62.3
164,2.3003,2.3098,0.062,62.67
165,2.3206,2.3098,0.062,63.05
166,2.299,2.3005,0.117,63.44
167,2.3003,2.3005,0.117,63.82
168,2.3067,2.298,0.113,64.19
169,2.2942,2.298,0.113,64.57
170,2.2983,2.2964,0.09,64.98
171,2.2936,2.3052,0.082,65.36
172,2.2987,2.3052,0.082,65.73
