step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,grad_norm,step_norm,epsilon,lr,step_seconds,wall_clock_s
0,3.009812116622925,3.009812116622925,3.01877760887146,0.0859375,0.125,14.782332420349121,0.09755528450012207,1.0,0.01,17.228847666992806,17.234426542010624
1,3.5260303020477295,3.267921209335327,3.0205087661743164,0.0859375,0.078125,19.79334259033203,0.04882742404937744,1.0,0.01,17.383510834013578,34.62705166701926
2,2.8954973220825195,3.143779913584391,3.010786771774292,0.0859375,0.078125,13.86732292175293,0.05325237274169922,1.0,0.01,17.532078958989587,52.16802441701293
3,2.7788939476013184,3.052558422088623,3.007385730743408,0.0859375,0.15625,12.597543716430664,0.06115439891815186,1.0,0.01,18.291492124961223,70.46646095800679
4,3.1181483268737793,3.0656764030456545,3.0024735927581787,0.0859375,0.0625,16.029478073120117,0.018363436460494997,1.0,0.01,17.296249542036094,87.76647404202959
5,2.884525775909424,3.0354846318562827,2.995387554168701,0.0859375,0.078125,12.906637191772461,0.18436100006103515,1.0,0.01,32.67913491697982,120.48482837498887
6,3.289724588394165,3.0718046256474087,3.0021321773529053,0.0859375,0.109375,17.605558395385742,0.08106243133544921,1.0,0.01,34.93391199997859,155.426185792021
7,3.150883197784424,3.0816894471645355,3.0025057792663574,0.0859375,0.09375,15.661914825439453,0.06287389755249023,1.0,0.01,31.86953079199884,187.30405779200373
8,3.437981605529785,3.1212774647606745,2.994699716567993,0.0859375,0.0625,18.544742584228516,0.10452040672302246,1.0,0.01,22.022402542002965,209.3320595420082
9,3.0257885456085205,3.111728572845459,2.9826676845550537,0.0859375,0.078125,14.710454940795898,0.05270730495452881,1.0,0.01,21.08246720902389,230.41918504203204
10,2.94820499420166,3.09686279296875,2.9776363372802734,0.0859375,0.09375,13.394968032836914,0.0674338960647583,1.0,0.01,23.367881625017617,253.79400325001916
11,3.1751742362976074,3.1033887465794883,2.969787359237671,0.0859375,0.0625,15.680804252624512,0.016269073486328126,1.0,0.01,23.315617582993582,277.1145453749923
12,2.9656028747558594,3.092789833362286,2.9639062881469727,0.0859375,0.078125,13.123703956604004,0.2953682899475098,1.0,0.01,24.019268916978035,301.13918587501394
13,2.956353187561035,3.0830443586621965,2.9269728660583496,0.0859375,0.125,12.143938064575195,0.11927674293518066,1.0,0.01,22.277333209000062,323.4210077919997
14,2.998265027999878,3.077392403284709,2.920438766479492,0.0859375,0.078125,14.053650856018066,0.028874871730804445,1.0,0.01,21.364807458012365,344.79176162503427
15,2.8577020168304443,3.063661754131317,2.9149537086486816,0.0859375,0.078125,12.782196044921875,0.06881115913391113,1.0,0.01,22.394009624957107,367.19033912499435
16,3.2148828506469727,3.072557112749885,2.9052889347076416,0.0859375,0.0625,14.929104804992676,0.050396265983581545,1.0,0.01,22.31536737497663,389.5109291250119
17,3.0980162620544434,3.0739715099334717,2.899017095565796,0.0859375,0.125,14.017106056213379,0.0757382869720459,1.0,0.01,21.316229749994818,410.83225066703744
18,2.982140302658081,3.069138288497925,2.8949501514434814,0.0859375,0.109375,12.78536605834961,0.0475331974029541,1.0,0.01,22.41683679196285,433.25868466700194
19,2.5658154487609863,3.043972146511078,2.889543294906616,0.0859375,0.1875,9.000523567199707,0.10513503074645997,1.0,0.01,22.838612666993868,456.10232612502296
20,2.984257936477661,3.0426944375038145,2.877138614654541,0.0859375,0.078125,13.48985767364502,0.12763105392456056,1.0,0.01,21.284817459003534,477.3916289170156
21,3.094710350036621,3.021128439903259,2.868405342102051,0.0859375,0.046875,13.642351150512695,0.09906436920166016,1.0,0.01,22.45729712501634,499.85378104203846
22,2.9831111431121826,3.0255091309547426,2.8621838092803955,0.0859375,0.078125,11.934082984924316,1.0501071166992189,1.0,0.01,22.357079791021533,522.216530708014
23,2.531677007675171,3.013148283958435,2.5542638301849365,0.0859375,0.15625,4.9472575187683105,0.04591330051422119,1.0,0.01,23.049105707963463,545.2701524579898
24,2.4567439556121826,2.980078065395355,2.5516419410705566,0.0859375,0.109375,4.047244071960449,0.01721067786216736,1.0,0.01,22.20713641605107,567.4819304580451
25,2.7016143798828125,2.970932495594025,2.5491786003112793,0.0859375,0.0625,6.831998825073242,0.10220611572265625,1.0,0.01,23.55588829203043,591.0426255420316
26,2.831188678741455,2.948005700111389,2.5494959354400635,0.0859375,0.0625,7.750045299530029,0.08631424903869629,1.0,0.01,21.323147041955963,612.37085591699
27,2.7658731937408447,2.9287551999092103,2.5443873405456543,0.0859375,0.09375,7.404376983642578,0.12911834716796874,1.0,0.01,20.883586833020672,633.2654787080246
28,2.407519817352295,2.877232110500336,2.538168430328369,0.0859375,0.125,3.6907052993774414,0.11660602569580078,1.0,0.01,25.776918874995317,659.0471905420418
29,2.616142749786377,2.8567498207092283,2.526515483856201,0.0859375,0.03125,6.335326194763184,0.037758064270019535,1.0,0.01,24.12319308402948,683.1756869170349
