step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,grad_norm,step_norm,epsilon,lr,step_seconds,wall_clock_s
0,3.009812116622925,3.009812116622925,3.01877760887146,0.0859375,0.125,14.782332420349121,4.8777642250061035,1.0,0.5,23.6120766660315,23.615487208007835
1,2.9610297679901123,2.9854209423065186,2.9421019554138184,0.0859375,0.0625,10.320890426635742,1.547492265701294,1.0,0.5,31.344647166028153,55.00588908302598
2,2.5364646911621094,2.8357688585917153,2.5069074630737305,0.08984375,0.109375,2.926520824432373,3.637871265411377,1.0,0.5,24.029274999978952,79.04851749999216
3,2.353222608566284,2.7151322960853577,2.365109443664551,0.109375,0.078125,1.5654593706130981,1.4287129640579224,1.0,0.5,25.533986666996498,104.58760787500069
4,2.7068917751312256,2.713484191894531,2.9408774375915527,0.140625,0.15625,16.820589065551758,0.5653277039527893,1.0,0.5,26.09251295903232,130.68869366700528
5,2.636841297149658,2.7007103761037192,2.5327625274658203,0.1328125,0.078125,8.378827095031738,2.7805299758911133,1.0,0.5,21.22981220803922,151.96515587501926
6,2.491844415664673,2.670872381755284,2.4327261447906494,0.1171875,0.09375,3.672023057937622,3.7723069190979004,1.0,0.5,25.389444792002905,177.35942887497367
7,5.581418514251709,3.034690648317337,5.400997161865234,0.140625,0.078125,24.175678253173828,1.7026132345199585,1.0,0.5,25.320348417037167,202.68428500002483
8,3.481593132019043,3.084346479839749,3.1719229221343994,0.125,0.125,11.276073455810547,1.2516624927520752,1.0,0.5,20.69541908300016,223.3873025830253
9,2.52496337890625,3.028408169746399,2.4233410358428955,0.15234375,0.09375,3.824533224105835,0.9377269744873047,1.0,0.5,24.691583874984644,248.08755320799537
10,2.389749050140381,2.9703482497822153,2.4112279415130615,0.15234375,0.078125,2.4632740020751953,0.9499187469482422,1.0,0.5,24.53132187499432,272.6281693750061
11,2.460221290588379,2.9278376698493958,2.393594264984131,0.109375,0.109375,3.944122314453125,1.4592818021774292,1.0,0.5,21.340458667022176,293.97944349999307
12,2.495436191558838,2.894576017673199,2.394531011581421,0.125,0.0625,4.501534461975098,1.601263165473938,1.0,0.5,21.882796959020197,315.8907464169897
13,2.2896230220794678,2.851365089416504,2.2501184940338135,0.10546875,0.046875,0.6996620893478394,1.1055829524993896,1.0,0.5,27.536358417011797,343.4451100419974
14,2.5826592445373535,2.8334513664245606,2.61928653717041,0.09375,0.15625,5.321808338165283,0.5013168454170227,1.0,0.5,21.209141583996825,364.6582309170044
15,2.353250026702881,2.8034387826919556,2.483829975128174,0.05859375,0.203125,1.92069411277771,10.912927627563477,1.0,0.5,25.42633162497077,390.1057391249924
16,112.76547241210938,9.27179370206945,137.23695373535156,0.10546875,0.078125,515.7581176757812,2.1200203895568848,1.0,0.5,20.739263291994575,410.85178824997274
17,92.72685241699219,13.908185852898491,94.74542999267578,0.109375,0.125,448.4382019042969,1.8503992557525635,1.0,0.5,27.105844041972887,438.0274533749907
