step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,grad_norm,step_norm,epsilon,lr,step_seconds,wall_clock_s
0,3.009812116622925,3.009812116622925,3.01877760887146,0.0859375,0.125,14.782332420349121,0.9755528450012207,1.0,0.1,22.554910957987886,22.55755870800931
1,2.7617835998535156,2.88579785823822,2.8526363372802734,0.0859375,0.125,10.33876895904541,0.5697592258453369,1.0,0.1,22.497925082978327,45.05601666599978
2,2.617919445037842,2.7965050538380942,2.7254374027252197,0.0859375,0.125,6.844112873077393,0.5492780208587646,1.0,0.1,27.779062625020742,72.8355411660159
3,2.4479498863220215,2.709366261959076,2.5868592262268066,0.0859375,0.125,4.574606895446777,0.5653983116149902,1.0,0.1,25.196177541045472,98.03259741602233
4,2.3967459201812744,2.646842193603516,2.513167381286621,0.0859375,0.125,2.946338176727295,0.8779892921447754,1.0,0.1,28.109067416982725,126.14306099998066
5,2.351167678833008,2.597563107808431,2.4326353073120117,0.1015625,0.140625,2.3897218704223633,0.39877550601959233,1.0,0.1,20.782188915996812,146.92630016600015
6,2.3050568103790283,2.5557764938899448,2.3705992698669434,0.08984375,0.171875,1.3660186529159546,0.3713694572448731,1.0,0.1,24.92314600001555,171.85061650001444
7,2.271714925765991,2.5202687978744507,2.3597445487976074,0.08984375,0.1875,1.2499725818634033,0.825691032409668,1.0,0.1,21.77252908301307,193.62528183299582
8,2.2712981700897217,2.4926053947872586,2.5238234996795654,0.0859375,0.140625,3.038339853286743,1.3111008644104005,1.0,0.1,27.211235209018923,220.8668607500149
9,2.692357063293457,2.5125805616378782,2.916802406311035,0.10546875,0.125,7.529445648193359,1.1870701789855957,1.0,0.1,25.16058416699525,246.02778812497854
10,2.2716944217681885,2.4906818216497246,2.519404172897339,0.09375,0.15625,2.1676313877105713,0.8045535087585449,1.0,0.1,22.618130791990552,268.64615225000307
11,2.3137049674987793,2.4759337504704795,2.5028412342071533,0.08984375,0.140625,4.377302646636963,0.8483345031738282,1.0,0.1,27.63003379100701,296.2768482909887
12,2.2175683975219727,2.4560594925513635,2.3517580032348633,0.10546875,0.15625,1.3810145854949951,0.998460865020752,1.0,0.1,24.320474124979228,320.5975921250065
13,3.1738805770874023,2.5073324271610806,3.4398069381713867,0.08203125,0.125,13.728829383850098,0.3681718111038208,1.0,0.1,28.210707416990772,348.81077862501843
14,3.0782432556152344,2.545393149058024,3.314319610595703,0.08203125,0.125,12.763483047485352,0.2256396532058716,1.0,0.1,27.3836243749829,376.1947401249781
15,2.977822780609131,2.5724200010299683,3.1867356300354004,0.08203125,0.125,11.288005828857422,1.7067665100097658,1.0,0.1,26.360093541967217,402.5575202499749
16,2.3312387466430664,2.558232868418974,2.458997964859009,0.08203125,0.125,3.167994737625122,1.7973089218139648,1.0,0.1,28.657332874950953,431.2154183749808
17,2.5374934673309326,2.5570806794696384,2.6417577266693115,0.0859375,0.125,5.476657390594482,0.3493634939193726,1.0,0.1,23.778403916978277,454.9942077079904
18,2.4424362182617188,2.551046760458695,2.5737218856811523,0.0859375,0.125,4.266679763793945,1.0115906715393066,1.0,0.1,30.45545295800548,485.45004845800577
19,2.2710623741149902,2.53704754114151,2.397055149078369,0.0625,0.109375,1.2306151390075684,6.0723316192626955,1.0,0.1,24.01027308299672,509.4620415830286
20,174.58840942382812,11.11597740650177,176.77064514160156,0.109375,0.046875,471.2234191894531,0.5751790046691895,1.0,0.1,29.331585708016064,538.8056527909939
