step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,step_seconds,wall_clock_s
0,2.291487693786621,3.009812116622925,2.3165512084960938,0.0859375,0.125,0.0858330829651095,0.09762812498956919
1,2.3274662494659424,2.7058855295181274,2.2981584072113037,0.08984375,0.078125,0.014944125025067478,0.11678250000113621
2,2.2835593223571777,2.5715035597483316,2.2942638397216797,0.0859375,0.078125,0.012011166953016073,0.13228299998445436
3,2.2499468326568604,2.4946226477622986,2.2957351207733154,0.0859375,0.15625,0.01235949998954311,0.14787558297393844
4,2.301321029663086,2.458928871154785,2.292689085006714,0.08984375,0.0625,0.020802541985176504,0.17298924998613074
5,2.2867422103881836,2.4310483932495117,2.294080972671509,0.08984375,0.078125,0.012804874975699931,0.19097491697175428
6,2.3000824451446533,2.41243246623448,2.295743703842163,0.0859375,0.109375,0.012645833019632846,0.21639329195022583
7,2.2852540016174316,2.397920936346054,2.293663740158081,0.0859375,0.09375,0.005853708018548787,0.23538249998819083
8,2.302138090133667,2.3880645169152155,2.2951314449310303,0.0859375,0.0625,0.006018082960508764,0.2536893329815939
9,2.287282705307007,2.3787835597991944,2.2911715507507324,0.0859375,0.078125,0.0073852080386132,0.2727405419573188
10,2.275634288787842,2.305877757072449,2.2959768772125244,0.0859375,0.09375,0.007225666951853782,0.2870921249850653
11,2.2980146408081055,2.2955499410629274,2.2957000732421875,0.0859375,0.0625,0.0066756660235114396,0.31007024995051324
12,2.2914035320281982,2.295108604431152,2.3000245094299316,0.0859375,0.078125,0.0094260000041686,0.33291537495097145
13,2.277306318283081,2.298322081565857,2.288724184036255,0.0859375,0.125,0.007490874966606498,0.35331183299422264
14,2.2864155769348145,2.295715641975403,2.285674571990967,0.0859375,0.078125,0.007609541993588209,0.3813122079591267
15,2.3001160621643066,2.2974603891372682,2.286799907684326,0.08984375,0.078125,0.007959707989357412,0.4008776669506915
16,2.301875114440918,2.2983989238739015,2.29547119140625,0.0859375,0.0625,0.008616540988441557,0.4201032079872675
17,2.2816126346588135,2.2989739656448362,2.300488233566284,0.0859375,0.125,0.014007665973622352,0.4509232919663191
