step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,step_seconds,wall_clock_s
0,2.299921989440918,3.009812116622925,2.4019861221313477,0.0859375,0.125,0.035432167001999915,0.03802170796552673
1,2.3670361042022705,2.7776341438293457,2.365410089492798,0.0859375,0.078125,0.011087834020145237,0.051208916993346065
2,2.297649621963501,2.6480480829874673,2.2913196086883545,0.0859375,0.078125,0.011419750051572919,0.06469562498386949
3,2.2304182052612305,2.5551571249961853,2.38201904296875,0.0859375,0.15625,0.010350833006668836,0.0773615829530172
4,2.2919270992279053,2.536422920227051,2.2886297702789307,0.0859375,0.0625,0.00886825000634417,0.08828708296641707
5,2.289029836654663,2.5012046098709106,2.2960355281829834,0.0859375,0.078125,0.007601333025377244,0.09808887500548735
6,2.2988414764404297,2.4732539653778076,2.290404796600342,0.0859375,0.109375,0.007201500004157424,0.10742679197574034
7,2.2545154094696045,2.4503038823604584,2.290433406829834,0.0859375,0.09375,0.006342499982565641,0.11581120797200128
8,2.246746778488159,2.4325235419803195,2.2727179527282715,0.0859375,0.0625,0.007477125036530197,0.12541699997382239
9,2.1549720764160156,2.41033992767334,2.2907514572143555,0.0859375,0.078125,0.007569541980046779,0.13500129198655486
10,2.2758965492248535,2.346091151237488,2.2815732955932617,0.0859375,0.09375,0.010955334000755101,0.1481347919907421
11,2.274442672729492,2.3210007429122923,2.2803795337677,0.0859375,0.0625,0.007663041993509978,0.15793141699396074
12,2.286914110183716,2.3110109329223634,2.287550687789917,0.08203125,0.078125,0.008127917011734098,0.16810012498172
13,2.2026326656341553,2.311496448516846,2.266380548477173,0.0859375,0.125,0.006206375022884458,0.17679058300564066
14,2.2252769470214844,2.291434907913208,2.2598114013671875,0.0859375,0.078125,0.00864129199180752,0.18759158300235868
15,2.2101926803588867,2.282428336143494,2.269235134124756,0.0859375,0.078125,0.007898874988313764,0.19762441696366295
16,2.20756196975708,2.2790172576904295,2.2471914291381836,0.0859375,0.0625,0.009607958025299013,0.20940116699784994
17,2.2223997116088867,2.277667927742004,2.2609829902648926,0.11328125,0.109375,0.010515292000491172,0.22207024996168911
18,2.186176061630249,2.2717509269714355,2.264604091644287,0.0859375,0.109375,0.013773374957963824,0.2381164999678731
19,2.245265007019043,2.276719260215759,2.2680535316467285,0.0859375,0.1875,0.009499125008005649,0.24988608295097947
20,2.1815898418426514,2.2686330556869505,2.2449285984039307,0.08984375,0.109375,0.010687500005587935,0.26289329200517386
21,2.122215747833252,2.2593685150146485,2.2804203033447266,0.08203125,0.09375,0.010205042024608701,0.275507332989946
22,2.0770487785339355,2.251676249504089,2.300058603286743,0.078125,0.125,0.01411504199495539,0.29172350000590086
23,2.1304073333740234,2.246408200263977,2.304090738296509,0.08984375,0.15625,0.016743041982408613,0.3108090419555083
24,2.268639326095581,2.258147883415222,2.323244094848633,0.0859375,0.109375,0.01524087501456961,0.32821637496817857
25,2.255237340927124,2.270852279663086,2.2649662494659424,0.05859375,0.09375,0.014197374985087663,0.34445199999026954
26,2.22658109664917,2.2712285041809084,2.2380316257476807,0.1015625,0.140625,0.008419666963163763,0.35480129200732335
27,2.089662551879883,2.2655473709106446,2.2391810417175293,0.09765625,0.140625,0.008348000003024936,0.3652291669859551
28,2.1901965141296387,2.271602463722229,2.209853172302246,0.0859375,0.125,0.010766457999125123,0.37801504199160263
29,2.1776528358459473,2.2737292051315308,2.221977472305298,0.1015625,0.09375,0.011070541979279369,0.39108920795843005
30,2.1408889293670654,2.2641392946243286,2.224966049194336,0.1015625,0.109375,0.013513999991118908,0.40651229198556393
31,2.1459434032440186,2.2656158924102785,2.2203588485717773,0.11328125,0.15625,0.014768124965485185,0.4233194169937633
32,2.2511215209960938,2.2701764345169066,2.5923848152160645,0.0546875,0.1875,0.011212749988771975,0.43659008300164714
33,2.2296228408813477,2.314896273612976,2.435277223587036,0.0546875,0.125,0.01267820899374783,0.45145208295434713
34,2.2421720027923584,2.3202930450439454,2.274608612060547,0.05859375,0.125,0.018320667033549398,0.47184366697911173
35,2.2256338596343994,2.310477638244629,2.3133392333984375,0.0546875,0.125,0.011969915998633951,0.48607004195218906
36,2.237790822982788,2.3200057983398437,2.265554428100586,0.09375,0.09375,0.01347054197685793,0.5015650829882361
37,2.1822149753570557,2.325028967857361,2.36582350730896,0.09765625,0.171875,0.011883708997629583,0.5157235829974525
38,2.328810214996338,2.330567145347595,2.4616053104400635,0.09765625,0.125,0.017455791996326298,0.5351685420027934
39,2.5189366340637207,2.359755754470825,2.482848882675171,0.09765625,0.046875,0.018278417002875358,0.5554682079819031
40,2.256143093109131,2.4014516830444337,2.6991875171661377,0.15625,0.140625,0.017502041009720415,0.5751035419525579
41,2.8636603355407715,2.4777730226516725,2.74951171875,0.1171875,0.078125,0.024231040966697037,0.6016295419540256
42,2.7599353790283203,2.546999478340149,2.6570653915405273,0.11328125,0.078125,0.022514374984893948,0.6261815420002677
43,2.412688732147217,2.5534669160842896,2.4885776042938232,0.109375,0.109375,0.029278125031851232,0.6576622919528745
44,2.5332155227661133,2.578097772598267,2.6289799213409424,0.109375,0.046875,0.02665254200110212,0.6863982499926351
45,2.6933350563049316,2.6302915096282957,2.8729074001312256,0.11328125,0.125,0.03149162500631064,0.7199275830062106
46,2.6057355403900146,2.6763834238052366,2.707869291305542,0.11328125,0.109375,0.024017291027121246,0.7459645419730805
47,2.3767895698547363,2.7093040466308596,2.5701630115509033,0.11328125,0.15625,0.035369666991755366,0.7834956249571405
48,2.4653961658477783,2.7290825128555296,2.640197277069092,0.11328125,0.0625,0.033799416036345065,0.8195444580051117
49,2.5147173404693604,2.725235843658447,2.900308847427368,0.11328125,0.0625,0.03292841702932492,0.8545474169659428
50,3.016301155090332,2.7704029083251953,3.186605215072632,0.11328125,0.03125,0.03464475000509992,0.8911738329916261
51,3.196715831756592,2.8103737592697144,3.30107045173645,0.11328125,0.0625,0.03441133297747001,0.9277807499747723
52,2.8395376205444336,2.813971924781799,3.29898738861084,0.11328125,0.171875,0.038003458990715444,0.9679218749515712
53,3.5788650512695312,2.9063979148864747,3.470946788787842,0.11328125,0.046875,0.036572208045981824,1.0066477920045145
54,3.0460689067840576,3.0106327533721924,3.083967447280884,0.0703125,0.109375,0.03761766594834626,1.046601332956925
55,2.5176730155944824,3.012885093688965,2.7739927768707275,0.10546875,0.125,0.0310505410307087,1.079739457985852
56,2.4721102714538574,3.018934965133667,2.70654559135437,0.10546875,0.171875,0.033165916975121945,1.1149852079688571
57,2.36838436126709,3.006683611869812,3.0848121643066406,0.109375,0.1875,0.028080500022042543,1.1450326250051148
58,3.1607677936553955,3.088085103034973,3.056185483932495,0.1171875,0.109375,0.03357166703790426,1.1807220419868827
59,2.947343587875366,3.1366145610809326,2.877810478210449,0.11328125,0.09375,0.028634042013436556,1.211392541998066
60,2.2057900428771973,3.099636363983154,2.5887606143951416,0.10546875,0.15625,0.023049833020195365,1.2363707919721492
61,2.215810537338257,2.99377863407135,2.5623693466186523,0.11328125,0.15625,0.04276420903624967,1.2813382080057636
62,2.2220354080200195,2.9312105417251586,2.3316118717193604,0.109375,0.203125,0.02806233399314806,1.311404624953866
63,2.117238998413086,2.7850017786026,2.5707852840423584,0.12890625,0.171875,0.02042400004575029,1.334015582979191
64,2.154430389404297,2.6528485774993897,2.320603609085083,0.1171875,0.140625,0.02655266597867012,1.3625374999828637
65,2.1354029178619385,2.588058018684387,2.384483814239502,0.1015625,0.203125,0.021376167016569525,1.385945041954983
66,2.5666284561157227,2.5578505039215087,2.415921688079834,0.1015625,0.046875,0.02617475000442937,1.414148124982603
67,2.2461276054382324,2.5381911039352416,2.409850597381592,0.109375,0.140625,0.02308291697409004,1.4393154999706894
68,2.189692258834839,2.4273815631866453,2.3274033069610596,0.0859375,0.125,0.021289874974172562,1.4627497079782188
69,2.4487409591674805,2.375559401512146,2.419475793838501,0.09765625,0.15625,0.022918707982171327,1.4877659999765456
70,2.235694408416748,2.331832480430603,2.7261486053466797,0.09765625,0.15625,0.019090042042080313,1.5092271249741316
71,2.58756160736084,2.385984110832214,2.5826308727264404,0.0859375,0.046875,0.016930375015363097,1.5282867079949938
72,2.5405163764953613,2.4096203804016114,2.5462543964385986,0.0859375,0.0625,0.015698124945629388,1.546013166953344
73,2.2029049396514893,2.4294891119003297,2.4408011436462402,0.0859375,0.125,0.012152292008977383,1.560179749969393
74,2.242575168609619,2.420428681373596,2.3241748809814453,0.1015625,0.109375,0.013683416997082531,1.576068166992627
75,2.163708209991455,2.428108787536621,2.335442066192627,0.08984375,0.125,0.01558783301152289,1.5936535419896245
76,2.144911766052246,2.389802885055542,2.240233898162842,0.10546875,0.078125,0.014190167014021426,1.6100058750016615
77,2.1511332988739014,2.38498375415802,2.2160558700561523,0.109375,0.15625,0.012441417027730495,1.6245200419798493
78,2.1351351737976074,2.374266242980957,2.3324732780456543,0.1015625,0.140625,0.012448207999113947,1.6390985419857316
79,2.0489234924316406,2.3377808332443237,2.286956310272217,0.1015625,0.171875,0.0149941670242697,1.6562982919858769
80,2.1496033668518066,2.339427375793457,2.2765867710113525,0.1171875,0.078125,0.012811791966669261,1.6710839999723248
81,2.19685697555542,2.282174015045166,2.2179112434387207,0.14453125,0.140625,0.01164416701067239,1.6848434580024332
82,2.2600982189178467,2.2523511409759522,2.2120068073272705,0.15234375,0.0625,0.009905582992359996,1.6967601249925792
83,2.2050938606262207,2.2376808643341066,2.228471279144287,0.1015625,0.125,0.009897875017486513,1.7086359579698183
84,2.1985414028167725,2.2294447660446166,2.3297743797302246,0.10546875,0.15625,0.010846707969903946,1.7216321249725297
85,2.2125444412231445,2.23481969833374,2.241753101348877,0.11328125,0.203125,0.011153041035868227,1.7347184999962337
86,2.1229288578033447,2.2365822553634644,2.217700481414795,0.1171875,0.15625,0.010746957967057824,1.7475195829756558
87,2.0470283031463623,2.2243980884552004,2.2539968490600586,0.13671875,0.234375,0.010419707978144288,1.7599499579519033
