step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,step_seconds,wall_clock_s
0,2.4206554889678955,3.009812116622925,2.488971710205078,0.0859375,0.125,0.07959158305311576,0.08685199997853488
1,2.3411667346954346,2.71523380279541,2.374572992324829,0.0859375,0.125,0.01991645898669958,0.10684449999826029
2,2.3053762912750244,2.5905447800954184,2.3697421550750732,0.0859375,0.125,0.019405750033911318,0.12625974998809397
3,2.296945571899414,2.51925265789032,2.333026647567749,0.12109375,0.203125,0.022743916953913867,0.14901341701624915
4,2.284090757369995,2.474791240692139,2.3393301963806152,0.09375,0.125,0.018586791993584484,0.16761370899621397
5,2.282994031906128,2.4430078268051147,2.305276393890381,0.08984375,0.125,0.029934249992948025,0.19755766697926447
6,2.277406930923462,2.4201487132481168,2.3651106357574463,0.14453125,0.15625,0.021828832977917045,0.2193960000295192
7,2.2531096935272217,2.402305990457535,2.3317065238952637,0.08984375,0.125,0.019999000011011958,0.23940404201857746
8,2.2130343914031982,2.3857286241319446,2.3074021339416504,0.12890625,0.1875,0.019408749998547137,0.25882154202554375
9,2.1416711807250977,2.36845920085907,2.3982784748077393,0.09375,0.171875,0.019328917027451098,0.278160875022877
10,2.124195098876953,2.281645107269287,2.3514137268066406,0.12890625,0.171875,0.019991250010207295,0.29816170898266137
11,2.075582265853882,2.2519990682601927,2.2799007892608643,0.19140625,0.203125,0.03259504202287644,0.33080533402971923
12,2.0403549671173096,2.2254406213760376,2.336150646209717,0.1171875,0.1875,0.02608129201689735,0.3568961250130087
13,2.0091452598571777,2.198938488960266,2.4344613552093506,0.10546875,0.171875,0.023294499958865345,0.3801989590283483
14,2.0096936225891113,2.1701584577560427,2.352458953857422,0.125,0.234375,0.023111874994356185,0.40331962500931695
15,1.9512314796447754,2.1427187442779543,2.3287229537963867,0.1328125,0.203125,0.02393412502715364,0.4272634999942966
16,1.9156341552734375,2.109542489051819,2.3666326999664307,0.140625,0.234375,0.024503500026185066,0.45177762501407415
17,1.8789327144622803,2.0733652114868164,2.406315803527832,0.140625,0.296875,0.023935541976243258,0.47572450002189726
18,1.8322880268096924,2.0359475135803224,2.420044422149658,0.1328125,0.328125,0.02540804195450619,0.5011444999836385
19,1.787945032119751,1.9978728771209717,2.4615063667297363,0.125,0.328125,0.025620666972827166,0.5267764169839211
20,1.7488917112350464,1.962500262260437,2.535120964050293,0.09375,0.359375,0.025619333027862012,0.5524059170274995
21,1.713549017906189,1.9249699234962463,2.6680877208709717,0.1171875,0.328125,0.03261687501799315,0.585089959029574
22,1.6978732347488403,1.888766598701477,2.57013201713562,0.1484375,0.4375,0.02075208304449916,0.605851583997719
23,1.6202415227890015,1.85451842546463,2.6855123043060303,0.125,0.453125,0.027185624989215285,0.6330459170276299
24,1.5724598169326782,1.8156280517578125,2.7729475498199463,0.1171875,0.421875,0.02918374998262152,0.6622393340221606
25,1.5252017974853516,1.771904671192169,2.8412024974823,0.1171875,0.4375,0.03193162498064339,0.6941804999951273
26,1.5171436071395874,1.7293017029762268,3.0372955799102783,0.140625,0.484375,0.03690920805092901,0.7310997919994406
27,1.5057247877120972,1.6894526481628418,2.994192361831665,0.12109375,0.4375,0.01960979198338464,0.7507213749922812
28,1.4323750734329224,1.6521318554878235,3.022545337677002,0.1171875,0.484375,0.024433499958831817,0.7751632499857806
29,1.4107816219329834,1.6121405601501464,3.0753064155578613,0.11328125,0.484375,0.026550083013717085,0.8017232500133105
30,1.3893835544586182,1.5744242191314697,3.249077558517456,0.12109375,0.46875,0.02553158299997449,0.8272666250122711
31,1.3411411046981812,1.538473403453827,3.2566676139831543,0.10546875,0.4375,0.026687540987040848,0.854018084006384
32,1.3156886100769043,1.5012326121330262,3.388688802719116,0.125,0.484375,0.02541399997426197,0.8794399999896996
33,1.3008747100830078,1.4630141496658324,3.4650442600250244,0.09765625,0.46875,0.029165000014472753,0.9086153340176679
34,1.2867615222930908,1.4310774683952332,3.5503695011138916,0.125,0.515625,0.028688459016848356,0.9373140420066193
35,1.2548288106918335,1.4025076389312745,3.6257588863372803,0.109375,0.5,0.028230124968104064,0.9655539590166882
36,1.2250001430511475,1.3754703402519226,3.6555087566375732,0.1328125,0.5,0.02909404202364385,0.994658250012435
37,1.197150707244873,1.3462559938430787,3.708894968032837,0.1171875,0.515625,0.02963333303341642,1.0243014590232633
38,1.1770082712173462,1.3153985857963562,3.86094331741333,0.1328125,0.515625,0.03255358402384445,1.0568675840040669
39,1.1531792879104614,1.2898619055747986,3.935762405395508,0.13671875,0.578125,0.035552541026845574,1.0924318750039674
40,1.1355297565460205,1.2641016721725464,4.010676860809326,0.1328125,0.59375,0.029723541985731572,1.1223128749988973
41,1.1304645538330078,1.2387162923812867,4.220541477203369,0.125,0.515625,0.030168124998454005,1.152572083985433
42,1.1213656663894653,1.2176486372947692,4.224427700042725,0.13671875,0.515625,0.0311412499868311,1.183723916998133
43,1.0865967273712158,1.1982163429260253,4.309178352355957,0.1484375,0.59375,0.03164258296601474,1.2153785839909688
44,1.080522894859314,1.1767885446548463,4.4407548904418945,0.12890625,0.5,0.03234979195985943,1.247739124984946
45,1.0680063962936401,1.1561646819114686,4.531429290771484,0.109375,0.5625,0.03254195797489956,1.280289874994196
46,1.0649510622024536,1.1374824404716493,4.79102897644043,0.13671875,0.59375,0.0332604160066694,1.3135602499824017
47,1.037722110748291,1.1214775323867798,4.7969584465026855,0.1484375,0.59375,0.034032666007988155,1.3476030000019819
48,1.0180414915084839,1.1055346727371216,4.9395670890808105,0.14453125,0.59375,0.03419804200530052,1.381814584019594
