step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,step_seconds,wall_clock_s
0,2.4206554889678955,3.009812116622925,2.488971710205078,0.0859375,0.125,0.04895887500606477,0.05192983301822096
1,2.407475709915161,2.838127374649048,2.3982784748077393,0.0859375,0.078125,0.02084395900601521,0.07506683300016448
2,2.3156068325042725,2.6868093808492026,2.313056707382202,0.0859375,0.078125,0.017836750019341707,0.09536200005095452
3,2.2523579597473145,2.5781965255737305,2.313056707382202,0.0859375,0.15625,0.025735959003213793,0.12350670801242813
4,2.300889015197754,2.528861713409424,2.3071513175964355,0.0859375,0.0625,0.02049816696671769,0.14635841600829735
5,2.303145408630371,2.494331161181132,2.3072760105133057,0.0859375,0.078125,0.019432874978519976,0.16807762504322454
6,2.2822117805480957,2.4654363564082553,2.352980136871338,0.0859375,0.109375,0.02132599998731166,0.1916893750312738
7,2.294534683227539,2.4491219222545624,2.3136258125305176,0.08984375,0.125,0.03427549998741597,0.22809916600817814
8,2.3027915954589844,2.4329906039767795,2.363396644592285,0.0859375,0.0625,0.023521333001554012,0.25387379102176055
9,2.238028049468994,2.416109395027161,2.3089420795440674,0.09375,0.140625,0.020978416956495494,0.2770265830331482
10,2.213181495666504,2.342723345756531,2.381964921951294,0.11328125,0.171875,0.02231899998150766,0.30176070804009214
11,2.295487880706787,2.3214871406555178,2.311654567718506,0.13671875,0.171875,0.02044587500859052,0.32437366602243856
12,2.2423789501190186,2.308308720588684,2.366941213607788,0.109375,0.15625,0.01818725001066923,0.34486475004814565
13,2.337719678878784,2.319175887107849,2.4170713424682617,0.12890625,0.140625,0.01940508303232491,0.366369333001785
14,2.378941059112549,2.3267470598220825,2.3885509967803955,0.1328125,0.125,0.019584541965741664,0.3883528750156984
15,2.367929697036743,2.3369345664978027,2.463266611099243,0.125,0.0625,0.02554825000697747,0.4165180830168538
16,2.2587788105010986,2.3468770027160644,2.4239015579223633,0.109375,0.15625,0.024169875017832965,0.44289983302587643
17,2.2643556594848633,2.3498144149780273,2.395242929458618,0.09375,0.140625,0.024404541996773332,0.46965662500588223
18,2.2882726192474365,2.351869010925293,2.472942590713501,0.1015625,0.125,0.038948250003159046,0.5110014160163701
19,2.312337636947632,2.3606618642807007,2.5060958862304688,0.1484375,0.1875,0.03346175001934171,0.5466700410470366
20,2.532970428466797,2.393565368652344,2.8933379650115967,0.1171875,0.109375,0.022347374993842095,0.5710855000070296
21,2.1874749660491943,2.3856056451797487,2.578611373901367,0.1640625,0.234375,0.01873287500347942,0.591993750014808
22,2.310872793197632,2.4044957399368285,2.435514450073242,0.1484375,0.203125,0.011014542018529028,0.605514333001338
23,2.2723119258880615,2.4079355955123902,2.3396155834198,0.16015625,0.15625,0.013648416963405907,0.6213110000244342
24,2.304713726043701,2.4077699184417725,2.2807857990264893,0.16015625,0.109375,0.014156042016111314,0.6376326250028796
25,2.211923360824585,2.3937806129455566,2.2653658390045166,0.14453125,0.140625,0.013488124997820705,0.6531449580215849
26,2.2673795223236084,2.3850075960159303,2.471298933029175,0.125,0.140625,0.024479542043991387,0.6796627080184408
27,2.3855700492858887,2.3913677453994753,2.6484360694885254,0.1015625,0.140625,0.023658040969166905,0.7054104580311105
28,2.576479196548462,2.425330948829651,2.5255801677703857,0.11328125,0.0625,0.016295083973091096,0.7238385410164483
29,2.4309380054473877,2.458915591239929,2.6169257164001465,0.08984375,0.0625,0.01974037499167025,0.7456419580266811
30,2.372178077697754,2.454817199707031,2.42712664604187,0.11328125,0.109375,0.02129820903064683,0.7733111249981448
31,2.1676790714263916,2.4516642332077025,2.393873691558838,0.1171875,0.21875,0.022030332998838276,0.7976890410063788
32,2.2208285331726074,2.447708320617676,2.2776451110839844,0.109375,0.203125,0.02448275004280731,0.827147750009317
33,2.179582118988037,2.435418128967285,2.339776039123535,0.1171875,0.25,0.025467958010267466,0.8556241250480525
34,2.223304271697998,2.4273574352264404,2.2535240650177,0.1484375,0.140625,0.022260042023845017,0.8807496660156175
35,2.28010892868042,2.4375885725021362,2.4763216972351074,0.11328125,0.1875,0.03200075001223013,0.9217564160353504
36,2.381314516067505,2.4512359142303466,2.392009973526001,0.10546875,0.078125,0.026209000032395124,0.9503720829961821
37,2.0198090076446533,2.4209396123886107,2.320500373840332,0.15234375,0.21875,0.021736750029958785,0.974596708023455
38,2.0468854904174805,2.372692012786865,2.263861894607544,0.1328125,0.15625,0.020346875011455268,0.9972057080012746
39,2.167512893676758,2.3320025205612183,2.2227635383605957,0.16796875,0.171875,0.02247437502956018,1.0226310830330476
40,2.2720696926116943,2.30538957118988,2.4230334758758545,0.109375,0.109375,0.02571287500904873,1.0511828330345452
41,2.283205270767212,2.315577507019043,2.4165849685668945,0.13671875,0.1875,0.021753958018962294,1.0752037910278887
42,2.305858612060547,2.3059902667999266,2.4165849685668945,0.13671875,0.125,0.01824808301171288,1.0957269580103457
43,2.2842984199523926,2.32526113986969,2.3589701652526855,0.171875,0.15625,0.01949499995680526,1.1176801249966957
44,2.196009397506714,2.3231872081756593,2.382953643798828,0.125,0.109375,0.025321209046524018,1.1451802500523627
45,2.220036506652832,2.322036337852478,2.293534994125366,0.19140625,0.15625,0.02397079096408561,1.1720353330019861
46,2.1330153942108154,2.3071680068969727,2.177510976791382,0.1953125,0.171875,0.025499792012851685,1.1999451250303537
47,1.990925669670105,2.3024399042129517,2.2597172260284424,0.15234375,0.28125,0.028298999997787178,1.2309789580176584
48,2.0659258365631104,2.301576113700867,2.326636552810669,0.1328125,0.1875,0.031746125023346394,1.2650722910184413
49,2.113429069519043,2.2879623889923097,2.4954686164855957,0.125,0.140625,0.027478542004246265,1.2949053330230527
50,2.1457977294921875,2.3021413326263427,2.3727262020111084,0.18359375,0.21875,0.019438749994151294,1.3187610410386696
51,2.3173398971557617,2.2899884462356566,2.250612258911133,0.203125,0.140625,0.02139445795910433,1.3426389160449617
52,2.254263401031494,2.2874190330505373,2.2197325229644775,0.19140625,0.171875,0.020635750028304756,1.3662359160371125
53,2.305813789367676,2.272383785247803,2.733964443206787,0.1171875,0.1875,0.023328709008637816,1.3933982500457205
54,2.318751096725464,2.295315885543823,2.3391685485839844,0.08984375,0.09375,0.019744374963920563,1.4164026250364259
55,2.298567295074463,2.290993642807007,2.3543875217437744,0.0859375,0.109375,0.015302250045351684,1.4357946660020389
56,2.1912479400634766,2.2830122232437136,2.3630149364471436,0.0859375,0.171875,0.009879334014840424,1.449110500048846
57,2.2302777767181396,2.3007534742355347,2.327805757522583,0.0859375,0.125,0.011566750006750226,1.462861875013914
58,2.3631420135498047,2.3213513612747194,2.3566901683807373,0.0859375,0.03125,0.017956666997633874,1.4832556250039488
59,2.322328567504883,2.3410772323608398,2.330843687057495,0.0859375,0.09375,0.011501750035677105,1.4980373750440776
60,2.312527894973755,2.3297576665878297,2.3151814937591553,0.0859375,0.15625,0.010206749953795224,1.5112593329977244
61,2.30391788482666,2.328359079360962,2.3086600303649902,0.0859375,0.09375,0.007590374967548996,1.5229997500427999
62,2.317032814025879,2.3328471899032595,2.3019227981567383,0.0859375,0.09375,0.007860582962166518,1.5334644160466269
63,2.303267478942871,2.332571005821228,2.296996593475342,0.0859375,0.15625,0.00768595898989588,1.5447708330466412
64,2.2960023880004883,2.3092551231384277,2.293006181716919,0.0859375,0.109375,0.007219000020995736,1.5543490000418387
65,2.279247999191284,2.3049527168273927,2.2871828079223633,0.0859375,0.125,0.008807124977465719,1.5668173750163987
66,2.2762739658355713,2.3122650384902954,2.2807021141052246,0.0859375,0.0625,0.008671334013342857,1.5779103750246577
67,2.2249412536621094,2.314924430847168,2.259147882461548,0.0859375,0.109375,0.010212833003606647,1.5942325410433114
68,2.2199044227600098,2.30134973526001,2.2518928050994873,0.0859375,0.125,0.011571417038794607,1.6091047080117278
69,2.316622257232666,2.3036003351211547,2.2476682662963867,0.0859375,0.09375,0.015623374958522618,1.6280304579995573
70,2.156109094619751,2.289351773262024,2.4485578536987305,0.0859375,0.140625,0.022979000001214445,1.6554995000478812
71,2.4019904136657715,2.314022421836853,2.516540288925171,0.109375,0.1875,0.01706337503856048,1.675664875016082
72,2.3052656650543213,2.3352893352508546,2.3200178146362305,0.109375,0.09375,0.021947250002995133,1.7017275410471484
73,2.2872893810272217,2.333021879196167,2.3694350719451904,0.109375,0.171875,0.03730620798887685,1.7416427080170251
74,2.3175597190856934,2.3421223402023315,2.3359885215759277,0.10546875,0.125,0.018684832961298525,1.7625025000306778
75,2.2992730140686035,2.3433454990386964,2.304415464401245,0.10546875,0.109375,0.022609375009778887,1.787541541038081
76,2.3021998405456543,2.3460102558135985,2.334441900253296,0.109375,0.078125,0.02514029201120138,1.816208541044034
77,2.3524539470672607,2.3536255598068236,2.3091788291931152,0.07421875,0.015625,0.02315612498205155,1.846059083007276
78,2.3573265075683594,2.365683650970459,2.4274353981018066,0.078125,0.046875,0.02648208400933072,1.8755942500429228
79,2.344287872314453,2.3736990213394167,2.35390567779541,0.140625,0.171875,0.01875408401247114,1.8996666660532355
80,2.51696515083313,2.4069973945617678,2.35390567779541,0.140625,0.109375,0.03846704197349027,1.941162625036668
81,2.311544179916382,2.3853511810302734,2.326085329055786,0.0859375,0.0625,0.02133891702396795,1.9654202910023741
82,2.285163402557373,2.362342858314514,2.3243725299835205,0.08984375,0.1875,0.016991499986033887,1.9892062500002794
83,2.3496830463409424,2.3740795850753784,2.375037670135498,0.11328125,0.09375,0.026425542018841952,2.0223842080449685
84,2.3531596660614014,2.3709028482437136,2.356921434402466,0.11328125,0.0625,0.021874041995033622,2.0469635410117917
85,2.285675525665283,2.379931092262268,2.3108069896698,0.0703125,0.140625,0.025991500006057322,2.078051290998701
86,2.2518632411956787,2.3798277139663697,2.3899896144866943,0.08984375,0.109375,0.020124125003349036,2.103104541020002
87,2.3150951862335205,2.3786633253097533,2.3569741249084473,0.109375,0.140625,0.023828000004868954,2.129622583044693
88,2.2968780994415283,2.373514175415039,2.38395357131958,0.109375,0.15625,0.01793870801338926,2.1503348750411533
